../jeu_100_25_4.txt_3_currentSA	../jeu_100_25_4.txt_3_bestSA	../jeu_100_25_4.txt_3_currentTS	../jeu_100_25_4.txt_3_bestTS	../jeu_100_25_4.txt_3_currentGrasp	../jeu_100_25_4.txt_3_bestGrasp	../jeu_100_25_4.txt_3_currentIG	../jeu_100_25_4.txt_3_bestIG	
-74.7333	-74.7333	-179.733	-179.733	-85.7333	-85.7333	11942	11942	
-24.7333	-24.7333	-129.733	-129.733	80	80	92	11942	
-24.7333	-24.7333	-80.7333	-80.7333	172	172	172	11942	
-24.7333	-24.7333	-31.7333	-31.7333	292	292	269	11942	
-29.7333	-24.7333	-25.7333	-25.7333	349	349	326	11942	
-29.7333	-24.7333	15819	15819	447	447	424	11942	
-29.7333	-24.7333	16434	16434	656	656	458	11942	
-11.7333	-11.7333	17017	17017	822	822	541	11942	
-38.7333	-11.7333	17521	17521	1037	1037	716	11942	
-4.73333	-4.73333	17760	17760	1147	1147	865	11942	
-21.7333	-4.73333	17831	17831	1561	1561	1067	11942	
-12.7333	-4.73333	18002	18002	1619	1619	1226	11942	
-12.7333	-4.73333	17882	18002	2039	2039	1574	11942	
-12.7333	-4.73333	18064	18064	2405	2405	1963	11942	
-12.7333	-4.73333	18113	18113	2513	2513	2246	11942	
-12.7333	-4.73333	18197	18197	2808	2808	2497	11942	
-12.7333	-4.73333	18071	18197	2907	2907	2596	11942	
-37.7333	-4.73333	17927	18197	3230	3230	3044	11942	
-37.7333	-4.73333	18358	18358	3553	3553	3306	11942	
-37.7333	-4.73333	18204	18358	3929	3929	3691	11942	
-37.7333	-4.73333	18593	18593	4518	4518	3858	11942	
-37.7333	-4.73333	18411	18593	4907	4907	4283	11942	
-37.7333	-4.73333	18381	18593	5172	5172	4870	11942	
-37.7333	-4.73333	18507	18593	5512	5512	5027	11942	
-37.7333	-4.73333	18534	18593	5861	5861	5352	11942	
-18.7333	-4.73333	18728	18728	6003	6003	5672	11942	
-18.7333	-4.73333	18645	18728	6443	6443	5970	11942	
-18.7333	-4.73333	19024	19024	7105	7105	6261	11942	
-37.7333	-4.73333	18841	19024	7367	7367	6782	11942	
-81.7333	-4.73333	19413	19413	7742	7742	7148	11942	
-81.7333	-4.73333	19375	19413	8258	8258	7633	11942	
-81.7333	-4.73333	19171	19413	8735	8735	8193	11942	
-90.7333	-4.73333	19730	19730	9215	9215	8299	11942	
-90.7333	-4.73333	19505	19730	9378	9378	8624	11942	
-88.7333	-4.73333	20044	20044	9761	9761	9220	11942	
-88.7333	-4.73333	19813	20044	10107	10107	9762	11942	
-60.7333	-4.73333	20221	20221	10766	10766	10215	11942	
-101.733	-4.73333	19948	20221	11279	11279	10877	11942	
-146.733	-4.73333	20235	20235	11969	11969	11343	11942	
-146.733	-4.73333	20466	20466	12365	12365	12190	12190	
-136.733	-4.73333	20831	20831	12875	12875	12633	12633	
-136.733	-4.73333	20748	20831	13208	13208	13291	13291	
-141.733	-4.73333	20739	20831	13637	13637	13972	13972	
-154.733	-4.73333	20865	20865	14180	14180	14497	14497	
-183.733	-4.73333	20660	20865	14477	14477	14982	14982	
-183.733	-4.73333	20500	20865	14566	14566	15925	15925	
-157.733	-4.73333	20344	20865	14663	14663	16014	16014	
-169.733	-4.73333	20115	20865	14744	14744	16174	16174	
-169.733	-4.73333	19885	20865	14913	14913	16315	16315	
-122.733	-4.73333	20289	20865	15101	15101	16486	16486	
-120.733	-4.73333	20374	20865	15307	15307	16613	16613	
-120.733	-4.73333	20155	20865	15621	15621	16826	16826	
-121.733	-4.73333	20715	20865	15838	15838	16962	16962	
-121.733	-4.73333	21079	21079	15944	15944	17173	17173	
-121.733	-4.73333	20951	21079	16069	16069	17350	17350	
-121.733	-4.73333	20919	21079	16375	16375	17521	17521	
-121.733	-4.73333	20756	21079	16618	16618	17831	17831	
-121.733	-4.73333	20784	21079	16808	16808	18120	18120	
-126.733	-4.73333	20626	21079	17087	17087	18333	18333	
-126.733	-4.73333	21020	21079	17325	17325	18631	18631	
-126.733	-4.73333	21392	21392	17481	17481	18837	18837	
-126.733	-4.73333	21519	21519	17801	17801	19141	19141	
-126.733	-4.73333	21925	21925	18230	18230	19339	19339	
-126.733	-4.73333	22117	22117	18455	18455	19600	19600	
-113.733	-4.73333	21864	22117	18726	18726	19969	19969	
-113.733	-4.73333	22248	22248	18965	18965	20347	20347	
-113.733	-4.73333	22056	22248	19513	19513	20650	20650	
-67.7333	-4.73333	21916	22248	19572	19572	20725	20725	
-53.7333	-4.73333	21705	22248	19648	19648	20900	20900	
-53.7333	-4.73333	21985	22248	19731	19731	21046	21046	
-53.7333	-4.73333	21725	22248	19825	19825	21294	21294	
-53.7333	-4.73333	22106	22248	19989	19989	21476	21476	
-87.7333	-4.73333	21821	22248	20097	20097	21618	21618	
-87.7333	-4.73333	22002	22248	20290	20290	21872	21872	
-69.7333	-4.73333	22215	22248	20402	20402	22137	22137	
-69.7333	-4.73333	22506	22506	20462	20462	22319	22319	
-119.733	-4.73333	22213	22506	20462	20462	22503	22503	
-119.733	-4.73333	22311	22506	20462	20462	22758	22758	
-78.7333	-4.73333	22266	22506	20696	20696	23000	23000	
-78.7333	-4.73333	22331	22506	20957	20957	23294	23294	
-101.733	-4.73333	22512	22512	21120	21120	23476	23476	
-101.733	-4.73333	22503	22512	21323	21323	23666	23666	
-101.733	-4.73333	22394	22512	21607	21607	23856	23856	
-101.733	-4.73333	22170	22512	21858	21858	24102	24102	
-101.733	-4.73333	21915	22512	22136	22136	24293	24293	
-72.7333	-4.73333	22262	22512	22172	22172	24548	24548	
-72.7333	-4.73333	21939	22512	22216	22216	14011	24548	
-121.733	-4.73333	22275	22512	22389	22389	14483	24548	
-121.733	-4.73333	22560	22560	22619	22619	14936	24548	
-121.733	-4.73333	22721	22721	22894	22894	15477	24548	
-121.733	-4.73333	22971	22971	23135	23135	16617	24548	
-121.733	-4.73333	22653	22971	23216	23216	17215	24548	
-121.733	-4.73333	22299	22971	23246	23246	17763	24548	
-121.733	-4.73333	22024	22971	23315	23315	18127	24548	
-121.733	-4.73333	22275	22971	23383	23383	19000	24548	
-121.733	-4.73333	22418	22971	23449	23449	19426	24548	
-121.733	-4.73333	22485	22971	23734	23734	19965	24548	
-121.733	-4.73333	22609	22971	23747	23747	20568	24548	
-121.733	-4.73333	22625	22971	23838	23838	20887	24548	
-121.733	-4.73333	22621	22971	92	23838	21198	24548	
-167.733	-4.73333	22564	22971	245	23838	21722	24548	
-144.733	-4.73333	22388	22971	325	23838	22166	24548	
-144.733	-4.73333	22146	22971	422	23838	22540	24548	
-98.7333	-4.73333	22082	22971	595	23838	22947	24548	
-98.7333	-4.73333	21930	22971	652	23838	23222	24548	
-98.7333	-4.73333	21804	22971	734	23838	23699	24548	
-98.7333	-4.73333	21542	22971	849	23838	24026	24548	
-114.733	-4.73333	21516	22971	1181	23838	24320	24548	
-85.7333	-4.73333	21331	22971	1313	23838	24552	24552	
-43.7333	-4.73333	21124	22971	1362	23838	24552	24552	
13782	13782	21495	22971	1593	23838	13866	24552	
13782	13782	22047	22971	1699	23838	14521	24552	
13782	13782	21796	22971	1875	23838	14926	24552	
13959	13959	22506	22971	2077	23838	15236	24552	
13959	13959	22253	22971	2320	23838	15827	24552	
14200	14200	21913	22971	2516	23838	16456	24552	
14200	14200	22313	22971	2613	23838	17043	24552	
14476	14476	21962	22971	2789	23838	17606	24552	
14476	14476	22237	22971	2826	23838	18078	24552	
14476	14476	21883	22971	2888	23838	18812	24552	
14476	14476	22284	22971	3222	23838	19311	24552	
14476	14476	22074	22971	3450	23838	20118	24552	
14476	14476	21921	22971	3523	23838	20544	24552	
14161	14476	21863	22971	3905	23838	21218	24552	
14161	14476	21695	22971	3964	23838	21766	24552	
14161	14476	21757	22971	4154	23838	22538	24552	
14161	14476	21603	22971	4518	23838	22903	24552	
14474	14476	21403	22971	4664	23838	23279	24552	
14474	14476	21155	22971	5075	23838	23815	24552	
14844	14844	21635	22971	5444	23838	24190	24552	
14844	14844	21389	22971	5767	23838	24594	24594	
15217	15217	21740	22971	6110	23838	24594	24594	
15217	15217	21950	22971	6424	23838	13361	24594	
15217	15217	22287	22971	6953	23838	13850	24594	
15217	15217	22057	22971	7270	23838	14311	24594	
15217	15217	22247	22971	7389	23838	15016	24594	
15217	15217	22338	22971	7833	23838	15510	24594	
15217	15217	22557	22971	8209	23838	16031	24594	
15217	15217	22643	22971	8604	23838	16434	24594	
15217	15217	22525	22971	9144	23838	16981	24594	
15217	15217	22323	22971	9731	23838	17521	24594	
15366	15366	22429	22971	10043	23838	18213	24594	
15366	15366	22402	22971	10196	23838	18908	24594	
15366	15366	22555	22971	10641	23838	19656	24594	
15366	15366	22311	22971	11186	23838	20112	24594	
15593	15593	22700	22971	11372	23838	21021	24594	
16119	16119	22736	22971	11810	23838	21695	24594	
16119	16119	22452	22971	12094	23838	22183	24594	
15946	16119	22345	22971	12806	23838	22563	24594	
15946	16119	22354	22971	13370	23838	22944	24594	
15946	16119	22487	22971	13872	23838	23370	24594	
15946	16119	22384	22971	14611	23838	23608	24594	
15946	16119	22088	22971	14626	23838	23908	24594	
15946	16119	22439	22971	14830	23838	24159	24594	
15946	16119	22064	22971	15019	23838	24496	24594	
15946	16119	22559	22971	15363	23838	24763	24763	
15946	16119	22517	22971	15675	23838	24763	24763	
15946	16119	22147	22971	15904	23838	17280	24763	
15946	16119	22574	22971	16209	23838	17805	24763	
15946	16119	22318	22971	16680	23838	18119	24763	
15946	16119	22567	22971	17078	23838	18947	24763	
15946	16119	22202	22971	17259	23838	19681	24763	
15946	16119	22459	22971	17519	23838	20171	24763	
15946	16119	22453	22971	18084	23838	20876	24763	
15946	16119	22957	22971	18561	23838	21291	24763	
15672	16119	22703	22971	18879	23838	21820	24763	
15672	16119	22791	22971	19314	23838	22294	24763	
15672	16119	22493	22971	19805	23838	22730	24763	
15672	16119	22839	22971	20285	23838	23100	24763	
15672	16119	22522	22971	20515	23838	23413	24763	
15672	16119	22625	22971	20786	23838	23781	24763	
15672	16119	22752	22971	20823	23838	24070	24763	
15672	16119	22836	22971	20892	23838	24386	24763	
15672	16119	22799	22971	20973	23838	24708	24763	
15672	16119	22706	22971	21064	23838	24974	24974	
15672	16119	23070	23070	21209	23838	25150	25150	
15672	16119	23011	23070	21339	23838	25150	25150	
15620	16119	22753	23070	21442	23838	13498	25150	
15620	16119	22457	23070	21692	23838	14116	25150	
15620	16119	22724	23070	21780	23838	14781	25150	
15620	16119	22898	23070	21950	23838	14993	25150	
15672	16119	22673	23070	22193	23838	15610	25150	
15672	16119	22334	23070	22463	23838	16203	25150	
15672	16119	22900	23070	22661	23838	16598	25150	
15672	16119	22994	23070	22804	23838	17010	25150	
15672	16119	23010	23070	22891	23838	17558	25150	
15672	16119	23195	23195	23110	23838	18331	25150	
15672	16119	23212	23212	23328	23838	18784	25150	
15672	16119	23206	23212	23689	23838	19432	25150	
15672	16119	23460	23460	23911	23911	19858	25150	
15672	16119	23458	23460	24059	24059	20397	25150	
15672	16119	23440	23460	24329	24329	21071	25150	
15672	16119	23442	23460	24329	24329	21663	25150	
15672	16119	23249	23460	24329	24329	22110	25150	
15672	16119	23020	23460	24442	24442	22306	25150	
15672	16119	22767	23460	80	24442	22774	25150	
15672	16119	23097	23460	137	24442	23262	25150	
15672	16119	22944	23460	229	24442	23748	25150	
15672	16119	22658	23460	326	24442	24201	25150	
15672	16119	23034	23460	463	24442	24532	25150	
15672	16119	22708	23460	520	24442	24869	25150	
15672	16119	22423	23460	569	24442	25073	25150	
15672	16119	22432	23460	603	24442	25073	25150	
15672	16119	22464	23460	866	24442	16529	25150	
15672	16119	22875	23460	903	24442	17186	25150	
15672	16119	22543	23460	1035	24442	17773	25150	
15672	16119	22828	23460	1260	24442	18167	25150	
15678	16119	23029	23460	1413	24442	18885	25150	
15678	16119	23032	23460	1704	24442	19673	25150	
15678	16119	22889	23460	2002	24442	20099	25150	
15678	16119	22647	23460	2279	24442	20638	25150	
15678	16119	22397	23460	2479	24442	21312	25150	
16020	16119	22462	23460	2771	24442	21810	25150	
16020	16119	22803	23460	3011	24442	22210	25150	
16020	16119	22514	23460	3336	24442	22738	25150	
16020	16119	22715	23460	3632	24442	23084	25150	
16020	16119	22387	23460	4125	24442	23571	25150	
16020	16119	22848	23460	4456	24442	23981	25150	
16020	16119	23044	23460	5102	24442	24419	25150	
16020	16119	23031	23460	5384	24442	24719	25150	
16020	16119	22679	23460	5809	24442	24976	25150	
16020	16119	23037	23460	6132	24442	25150	25150	
16020	16119	22961	23460	6483	24442	25150	25150	
16020	16119	22789	23460	7191	24442	13726	25150	
16020	16119	22424	23460	7615	24442	14323	25150	
16020	16119	22129	23460	8026	24442	14597	25150	
16020	16119	22529	23460	8069	24442	15346	25150	
16020	16119	22311	23460	8390	24442	16012	25150	
16020	16119	22561	23460	8782	24442	16377	25150	
16020	16119	22195	23460	9198	24442	16577	25150	
16193	16193	22623	23460	9918	24442	17251	25150	
16193	16193	22267	23460	10261	24442	17937	25150	
16193	16193	22262	23460	10405	24442	18461	25150	
16193	16193	22158	23460	10962	24442	18806	25150	
16193	16193	22276	23460	11503	24442	19207	25150	
16193	16193	22388	23460	12117	24442	19993	25150	
16193	16193	22284	23460	12700	24442	20894	25150	
16193	16193	21983	23460	13338	24442	21837	25150	
16193	16193	22292	23460	13756	24442	22324	25150	
16193	16193	21998	23460	14423	24442	22822	25150	
16193	16193	22429	23460	15210	24442	23112	25150	
16193	16193	22148	23460	15299	24442	23490	25150	
16193	16193	21901	23460	15407	24442	23907	25150	
16307	16307	21947	23460	15485	24442	24268	25150	
15910	16307	21944	23460	15593	24442	24532	25150	
15910	16307	21922	23460	15920	24442	24706	25150	
15910	16307	21611	23460	16085	24442	24875	25150	
15910	16307	22067	23460	16230	24442	24875	25150	
15910	16307	21728	23460	16320	24442	16928	25150	
15910	16307	22130	23460	16575	24442	17285	25150	
15910	16307	22270	23460	16838	24442	17865	25150	
15910	16307	22300	23460	16979	24442	18631	25150	
15910	16307	22532	23460	17356	24442	19053	25150	
15910	16307	22578	23460	17703	24442	19973	25150	
15910	16307	22773	23460	18013	24442	20712	25150	
15910	16307	22764	23460	18157	24442	21417	25150	
15910	16307	22713	23460	18404	24442	22201	25150	
15910	16307	22487	23460	18708	24442	22816	25150	
16307	16307	22418	23460	19037	24442	23433	25150	
16307	16307	22228	23460	19351	24442	23928	25150	
16307	16307	22124	23460	19719	24442	24227	25150	
16307	16307	21842	23460	19995	24442	24595	25150	
16307	16307	22353	23460	20239	24442	24884	25150	
16307	16307	22116	23460	20324	24442	25150	25150	
16307	16307	21822	23460	20352	24442	25150	25150	
16307	16307	22133	23460	20458	24442	14051	25150	
16307	16307	22212	23460	20607	24442	14582	25150	
16307	16307	21896	23460	20620	24442	15377	25150	
16307	16307	22367	23460	20803	24442	15926	25150	
16307	16307	22067	23460	20983	24442	16786	25150	
16307	16307	22460	23460	21155	24442	17063	25150	
16307	16307	22195	23460	21384	24442	17647	25150	
16307	16307	22505	23460	21588	24442	18352	25150	
16307	16307	22235	23460	21767	24442	19131	25150	
16636	16636	22660	23460	22037	24442	20094	25150	
16636	16636	22471	23460	22307	24442	20489	25150	
16636	16636	22362	23460	22667	24442	20962	25150	
16636	16636	22300	23460	22835	24442	21520	25150	
16636	16636	22162	23460	23056	24442	21887	25150	
16636	16636	22117	23460	23363	24442	22373	25150	
16388	16636	21929	23460	23515	24442	22934	25150	
16388	16636	21711	23460	23689	24442	23241	25150	
16388	16636	21453	23460	23881	24442	23764	25150	
16164	16636	21845	23460	23931	24442	24171	25150	
16164	16636	21644	23460	23931	24442	24548	25150	
16164	16636	21903	23460	23931	24442	24923	25150	
16344	16636	22069	23460	92	24442	25180	25180	
16344	16636	22300	23460	149	24442	25180	25180	
16344	16636	22011	23460	335	24442	16622	25180	
16344	16636	22342	23460	417	24442	17338	25180	
16344	16636	22011	23460	594	24442	18164	25180	
16344	16636	22472	23460	731	24442	18830	25180	
16344	16636	22150	23460	1082	24442	19732	25180	
16344	16636	22455	23460	1247	24442	20641	25180	
16344	16636	22435	23460	1280	24442	21315	25180	
16344	16636	22491	23460	1518	24442	21869	25180	
16344	16636	22472	23460	1628	24442	22494	25180	
16344	16636	22304	23460	1727	24442	22901	25180	
16344	16636	22184	23460	1876	24442	23280	25180	
16344	16636	22241	23460	1992	24442	23612	25180	
16344	16636	22668	23460	2389	24442	24098	25180	
16633	16636	22915	23460	2595	24442	24551	25180	
16633	16636	23033	23460	2769	24442	24834	25180	
16582	16636	23348	23460	3112	24442	25180	25180	
16582	16636	23117	23460	3565	24442	25180	25180	
16582	16636	23148	23460	3765	24442	14498	25180	
16582	16636	22905	23460	4182	24442	14948	25180	
16582	16636	22711	23460	4271	24442	15722	25180	
16582	16636	22491	23460	4711	24442	16253	25180	
16582	16636	22386	23460	4997	24442	16761	25180	
16582	16636	22147	23460	5312	24442	17974	25180	
16582	16636	22556	23460	5683	24442	18522	25180	
16582	16636	22293	23460	6166	24442	18975	25180	
16582	16636	22277	23460	6441	24442	19877	25180	
16582	16636	22281	23460	7036	24442	20659	25180	
16582	16636	22203	23460	7359	24442	21333	25180	
16582	16636	22701	23460	7748	24442	21758	25180	
16582	16636	22956	23460	8350	24442	22182	25180	
16582	16636	22792	23460	9209	24442	22504	25180	
16582	16636	22481	23460	9624	24442	22882	25180	
16582	16636	22692	23460	10311	24442	23188	25180	
16582	16636	22867	23460	10984	24442	23711	25180	
16582	16636	22921	23460	11717	24442	24122	25180	
16582	16636	23257	23460	12636	24442	24386	25180	
16582	16636	22980	23460	12902	24442	24785	25180	
16582	16636	22627	23460	13571	24442	25180	25180	
16582	16636	22747	23460	14399	24442	25180	25180	
16582	16636	22994	23460	15158	24442	16066	25180	
16582	16636	22684	23460	15198	24442	16693	25180	
16582	16636	22305	23460	15278	24442	17191	25180	
16734	16734	22740	23460	15414	24442	17561	25180	
16734	16734	22401	23460	15473	24442	18457	25180	
16734	16734	22868	23460	15592	24442	18703	25180	
16734	16734	22648	23460	15678	24442	19594	25180	
16734	16734	22471	23460	15772	24442	20166	25180	
16734	16734	22876	23460	15917	24442	20581	25180	
16734	16734	22587	23460	16005	24442	21007	25180	
16734	16734	22938	23460	16125	24442	21701	25180	
16734	16734	22612	23460	16213	24442	22166	25180	
16734	16734	22471	23460	16391	24442	22498	25180	
16734	16734	22310	23460	16632	24442	22829	25180	
16734	16734	21904	23460	16844	24442	23214	25180	
16389	16734	22236	23460	16978	24442	23601	25180	
16389	16734	22299	23460	17266	24442	23948	25180	
16395	16734	22223	23460	17456	24442	24238	25180	
16395	16734	21909	23460	17729	24442	24545	25180	
16395	16734	22073	23460	17949	24442	24545	25180	
16395	16734	21895	23460	18322	24442	15164	25180	
16395	16734	21770	23460	18348	24442	15720	25180	
16134	16734	21834	23460	18672	24442	16322	25180	
16134	16734	21761	23460	18967	24442	17419	25180	
16134	16734	21645	23460	19241	24442	18322	25180	
16134	16734	21655	23460	19339	24442	18612	25180	
16134	16734	22132	23460	19850	24442	19177	25180	
16134	16734	21739	23460	20301	24442	20037	25180	
16134	16734	22291	23460	20709	24442	20776	25180	
16134	16734	21978	23460	21014	24442	21418	25180	
16134	16734	21634	23460	21236	24442	22206	25180	
16134	16734	22037	23460	21398	24442	22823	25180	
16134	16734	22166	23460	21440	24442	23356	25180	
16134	16734	21963	23460	21621	24442	23808	25180	
16134	16734	21765	23460	21757	24442	24172	25180	
16134	16734	22143	23460	21841	24442	24622	25180	
16134	16734	22114	23460	22027	24442	25015	25180	
16227	16734	21964	23460	22359	24442	25015	25180	
16227	16734	22002	23460	22561	24442	14903	25180	
16227	16734	22207	23460	22719	24442	15436	25180	
16227	16734	21811	23460	22883	24442	15856	25180	
16227	16734	22109	23460	23169	24442	16103	25180	
16227	16734	21813	23460	23440	24442	16881	25180	
16147	16734	22197	23460	23697	24442	17333	25180	
16147	16734	21796	23460	23928	24442	17956	25180	
16147	16734	22290	23460	24294	24442	18991	25180	
