../jeu_200_75_5.txt_3_currentFirst	../jeu_200_75_5.txt_3_bestFirst	../jeu_200_75_5.txt_3_currentBest	../jeu_200_75_5.txt_3_bestBest	
-153.733	-153.733	-16.7333	-16.7333	
0	0	0	0	
0	0	0	0	
37	37	243	243	
52	52	245	245	
73	73	0	245	
74	74	0	245	
81	81	148	245	
0	81	156	245	
0	81	158	245	
2203	2203	0	245	
2973	2973	0	245	
3262	3262	13570	13570	
3464	3464	24109	24109	
3799	3799	34458	34458	
4351	4351	32564	34458	
5111	5111	48045	48045	
7335	7335	46324	48045	
7973	7973	53474	53474	
10391	10391	59045	59045	
10709	10709	56717	59045	
12502	12502	65642	65642	
14018	14018	63536	65642	
15586	15586	0	65642	
17598	17598	0	65642	
19373	19373	176	65642	
21386	21386	269	65642	
22002	22002	331	65642	
22446	22446	0	65642	
22473	22473	0	65642	
24834	24834	15254	65642	
27259	27259	30403	65642	
27361	27361	37913	65642	
27503	27503	45814	65642	
27593	27593	50826	65642	
27853	27853	52362	65642	
27957	27957	52362	65642	
29886	29886	52362	65642	
0	29886	52362	65642	
0	29886	52362	65642	
1	29886	52362	65642	
15	29886	52362	65642	
32	29886	52362	65642	
38	29886	52362	65642	
51	29886	52362	65642	
75	29886	52362	65642	
96	29886	52362	65642	
131	29886	52362	65642	
154	29886	52362	65642	
198	29886	52362	65642	
213	29886	52362	65642	
218	29886	52362	65642	
236	29886	52362	65642	
273	29886	52362	65642	
288	29886	52362	65642	
300	29886	52362	65642	
301	29886	52362	65642	
0	29886	52362	65642	
0	29886	52362	65642	
1806	29886	52362	65642	
3481	29886	52362	65642	
3627	29886	52362	65642	
3664	29886	52362	65642	
5161	29886	52362	65642	
5532	29886	52362	65642	
5978	29886	52362	65642	
7914	29886	52362	65642	
8363	29886	52362	65642	
8744	29886	52362	65642	
8862	29886	52362	65642	
9215	29886	52362	65642	
10975	29886	52362	65642	
11316	29886	52362	65642	
12951	29886	52362	65642	
14498	29886	52362	65642	
16616	29886	52362	65642	
18512	29886	52362	65642	
19049	29886	52362	65642	
21024	29886	52362	65642	
23017	29886	52362	65642	
23245	29886	52362	65642	
24884	29886	52362	65642	
27212	29886	52362	65642	
27319	29886	52362	65642	
27521	29886	52362	65642	
29583	29886	52362	65642	
31257	31257	52362	65642	
33429	33429	52362	65642	
35780	35780	52362	65642	
36036	36036	52362	65642	
38795	38795	52362	65642	
0	38795	52362	65642	
0	38795	52362	65642	
1	38795	52362	65642	
47	38795	52362	65642	
71	38795	52362	65642	
76	38795	52362	65642	
101	38795	52362	65642	
139	38795	52362	65642	
157	38795	52362	65642	
169	38795	52362	65642	
181	38795	52362	65642	
185	38795	52362	65642	
185	38795	52362	65642	
