../jeu_100_75_2.txt_3_currentFirst	../jeu_100_75_2.txt_3_bestFirst	../jeu_100_75_2.txt_3_currentBest	../jeu_100_75_2.txt_3_bestBest	
-98.3333	-98.3333	-203.333	-203.333	
0	0	0	0	
0	0	0	0	
370	370	82	82	
1478	1478	98	98	
1750	1750	102	102	
2754	2754	0	102	
3909	3909	0	102	
4265	4265	151	151	
5277	5277	4293	4293	
5649	5649	10341	10341	
6685	6685	11971	11971	
7605	7605	11123	11971	
8130	8130	11129	11971	
8354	8354	11133	11971	
9325	9325	15660	15660	
10326	10326	16862	16862	
10340	10340	20099	20099	
10364	10364	0	20099	
10535	10535	0	20099	
11346	11346	4010	20099	
12275	12275	2544	20099	
12713	12713	0	20099	
13563	13563	0	20099	
14361	14361	80	20099	
14385	14385	82	20099	
15791	15791	5422	20099	
16991	16991	4418	20099	
0	16991	9850	20099	
0	16991	11898	20099	
26	16991	11099	20099	
36	16991	0	20099	
44	16991	0	20099	
46	16991	116	20099	
54	16991	5609	20099	
0	16991	7478	20099	
0	16991	9788	20099	
3	16991	8898	20099	
346	16991	8898	20099	
1554	16991	8898	20099	
1760	16991	8898	20099	
1822	16991	8898	20099	
2005	16991	8898	20099	
2904	16991	8898	20099	
3036	16991	8898	20099	
3889	16991	8898	20099	
3902	16991	8898	20099	
3924	16991	8898	20099	
4447	16991	8898	20099	
4758	16991	8898	20099	
6183	16991	8898	20099	
7530	16991	8898	20099	
7836	16991	8898	20099	
8771	16991	8898	20099	
9558	16991	8898	20099	
10293	16991	8898	20099	
10345	16991	8898	20099	
10407	16991	8898	20099	
11319	16991	8898	20099	
11458	16991	8898	20099	
12398	16991	8898	20099	
12896	16991	8898	20099	
14179	16991	8898	20099	
15049	16991	8898	20099	
16859	16991	8898	20099	
17748	17748	8898	20099	
0	17748	8898	20099	
0	17748	8898	20099	
212	17748	8898	20099	
254	17748	8898	20099	
994	17748	8898	20099	
1120	17748	8898	20099	
1320	17748	8898	20099	
2377	17748	8898	20099	
2577	17748	8898	20099	
2628	17748	8898	20099	
2771	17748	8898	20099	
2962	17748	8898	20099	
3657	17748	8898	20099	
4600	17748	8898	20099	
4741	17748	8898	20099	
5040	17748	8898	20099	
5854	17748	8898	20099	
6905	17748	8898	20099	
7532	17748	8898	20099	
7595	17748	8898	20099	
7732	17748	8898	20099	
7798	17748	8898	20099	
7978	17748	8898	20099	
8048	17748	8898	20099	
9023	17748	8898	20099	
9881	17748	8898	20099	
9988	17748	8898	20099	
11006	17748	8898	20099	
11880	17748	8898	20099	
11964	17748	8898	20099	
12116	17748	8898	20099	
13339	17748	8898	20099	
0	17748	8898	20099	
0	17748	8898	20099	
30	17748	8898	20099	
30	17748	8898	20099	
