../jeu_100_25_4.txt_3_currentFirst	../jeu_100_25_4.txt_3_bestFirst	../jeu_100_25_4.txt_3_currentBest	../jeu_100_25_4.txt_3_bestBest	
-104.733	-104.733	-75.7333	-75.7333	
0	0	0	0	
0	0	0	0	
46	46	101	101	
79	79	1941	1941	
88	88	4764	4764	
90	90	4529	4764	
99	99	4531	4764	
101	101	0	4764	
0	101	0	4764	
0	101	147	4764	
40	101	316	4764	
72	101	2769	4764	
95	101	2529	4764	
137	137	5911	5911	
150	150	8885	8885	
157	157	9729	9729	
176	176	10471	10471	
186	186	10189	10471	
209	209	10204	10471	
210	210	10206	10471	
213	213	0	10471	
0	213	0	10471	
0	213	186	10471	
2	213	4287	10471	
7	213	5757	10471	
18	213	7462	10471	
27	213	8073	10471	
0	213	8493	10471	
0	213	9911	10471	
17	213	11750	11750	
22	213	12402	12402	
0	213	12022	12402	
0	213	13459	13459	
45	213	13977	13977	
49	213	13471	13977	
54	213	13475	13977	
77	213	0	13977	
78	213	0	13977	
87	213	141	13977	
87	213	372	13977	
87	213	410	13977	
87	213	429	13977	
87	213	433	13977	
87	213	0	13977	
87	213	0	13977	
87	213	145	13977	
87	213	215	13977	
87	213	228	13977	
87	213	228	13977	
