../jeu_200_25_8.txt_3_currentSA	../jeu_200_25_8.txt_3_bestSA	../jeu_200_25_8.txt_3_currentTS	../jeu_200_25_8.txt_3_bestTS	../jeu_200_25_8.txt_3_currentGrasp	../jeu_200_25_8.txt_3_bestGrasp	../jeu_200_25_8.txt_3_currentIG	../jeu_200_25_8.txt_3_bestIG	
-129.733	-129.733	-29.7333	-29.7333	48697	48697	-102.733	-102.733	
-136.733	-129.733	52492	52492	60	48697	37	37	
-153.733	-129.733	53651	53651	97	48697	112	112	
-153.733	-129.733	54772	54772	160	48697	259	259	
-153.733	-129.733	55710	55710	247	48697	356	356	
-163.733	-129.733	56608	56608	415	48697	539	539	
-195.733	-129.733	57505	57505	604	48697	623	623	
-193.733	-129.733	58443	58443	704	48697	762	762	
-193.733	-129.733	59290	59290	824	48697	954	954	
-193.733	-129.733	60082	60082	933	48697	1176	1176	
-193.733	-129.733	60832	60832	1050	48697	1346	1346	
-193.733	-129.733	61274	61274	1147	48697	1623	1623	
-193.733	-129.733	61962	61962	1231	48697	2191	2191	
-193.733	-129.733	61753	61962	1428	48697	2541	2541	
-193.733	-129.733	62904	62904	1630	48697	2949	2949	
-193.733	-129.733	63768	63768	1849	48697	3239	3239	
-193.733	-129.733	64599	64599	2070	48697	3740	3740	
-193.733	-129.733	64961	64961	2253	48697	3905	3905	
-233.733	-129.733	65256	65256	2514	48697	4128	4128	
-233.733	-129.733	65136	65256	2975	48697	4324	4324	
-233.733	-129.733	64914	65256	3194	48697	4776	4776	
-223.733	-129.733	64669	65256	3403	48697	5026	5026	
-223.733	-129.733	65462	65462	3714	48697	5271	5271	
-223.733	-129.733	65174	65462	3873	48697	5521	5521	
-212.733	-129.733	66031	66031	4277	48697	5871	5871	
-166.733	-129.733	65676	66031	4593	48697	6092	6092	
-166.733	-129.733	66374	66374	4802	48697	6375	6375	
-166.733	-129.733	66141	66374	5160	48697	6629	6629	
-166.733	-129.733	66362	66374	5479	48697	7013	7013	
