../jeu_200_25_8.txt_5_currentFirst	../jeu_200_25_8.txt_5_bestFirst	../jeu_200_25_8.txt_5_currentBest	../jeu_200_25_8.txt_5_bestBest	
-201.84	-201.84	-313.84	-313.84	
0	0	0	0	
0	0	0	0	
10	10	121	121	
43	43	197	197	
45	45	224	224	
46	46	296	296	
60	60	379	379	
66	66	404	404	
70	70	408	408	
78	78	0	408	
84	84	0	408	
88	88	327	408	
112	112	404	408	
123	123	428	428	
150	150	466	466	
152	152	488	488	
161	161	514	514	
171	171	534	534	
172	172	542	542	
173	173	0	542	
0	173	0	542	
0	173	264	542	
4	173	302	542	
53	173	364	542	
100	173	396	542	
108	173	398	542	
109	173	400	542	
119	173	400	542	
120	173	400	542	
128	173	400	542	
143	173	400	542	
147	173	400	542	
153	173	400	542	
165	173	400	542	
166	173	400	542	
169	173	400	542	
170	173	400	542	
171	173	400	542	
179	179	400	542	
217	217	400	542	
0	217	400	542	
0	217	400	542	
3	217	400	542	
7	217	400	542	
24	217	400	542	
26	217	400	542	
33	217	400	542	
37	217	400	542	
47	217	400	542	
54	217	400	542	
61	217	400	542	
75	217	400	542	
84	217	400	542	
92	217	400	542	
93	217	400	542	
0	217	400	542	
0	217	400	542	
38	217	400	542	
40	217	400	542	
61	217	400	542	
72	217	400	542	
84	217	400	542	
93	217	400	542	
99	217	400	542	
101	217	400	542	
106	217	400	542	
114	217	400	542	
0	217	400	542	
0	217	400	542	
21	217	400	542	
31	217	400	542	
61	217	400	542	
77	217	400	542	
105	217	400	542	
112	217	400	542	
113	217	400	542	
131	217	400	542	
135	217	400	542	
166	217	400	542	
172	217	400	542	
185	217	400	542	
199	217	400	542	
214	217	400	542	
227	227	400	542	
246	246	400	542	
252	252	400	542	
253	253	400	542	
255	255	400	542	
255	255	400	542	
