../jeu_200_75_5.txt_5_currentFirst	../jeu_200_75_5.txt_5_bestFirst	../jeu_200_75_5.txt_5_currentBest	../jeu_200_75_5.txt_5_bestBest	
-94.24	-94.24	-363.24	-363.24	
0	0	0	0	
0	0	0	0	
26	26	143	143	
69	69	295	295	
78	78	329	329	
87	87	359	359	
120	120	414	414	
170	170	438	438	
182	182	454	454	
183	183	0	454	
210	210	0	454	
216	216	177	454	
0	216	438	454	
0	216	568	568	
20	216	576	576	
35	216	578	578	
39	216	0	578	
50	216	0	578	
56	216	184	578	
60	216	198	578	
83	216	284	578	
94	216	312	578	
116	216	330	578	
121	216	387	578	
124	216	395	578	
126	216	0	578	
128	216	0	578	
130	216	141	578	
137	216	201	578	
145	216	265	578	
176	216	297	578	
177	216	321	578	
184	216	342	578	
200	216	14742	14742	
203	216	13705	14742	
208	216	13713	14742	
213	216	13717	14742	
223	223	13717	14742	
232	232	13717	14742	
0	232	13717	14742	
0	232	13717	14742	
20	232	13717	14742	
26	232	13717	14742	
57	232	13717	14742	
79	232	13717	14742	
125	232	13717	14742	
134	232	13717	14742	
184	232	13717	14742	
185	232	13717	14742	
188	232	13717	14742	
191	232	13717	14742	
0	232	13717	14742	
0	232	13717	14742	
21	232	13717	14742	
46	232	13717	14742	
47	232	13717	14742	
53	232	13717	14742	
55	232	13717	14742	
65	232	13717	14742	
67	232	13717	14742	
113	232	13717	14742	
114	232	13717	14742	
118	232	13717	14742	
129	232	13717	14742	
145	232	13717	14742	
154	232	13717	14742	
167	232	13717	14742	
168	232	13717	14742	
0	232	13717	14742	
0	232	13717	14742	
43	232	13717	14742	
45	232	13717	14742	
94	232	13717	14742	
126	232	13717	14742	
163	232	13717	14742	
175	232	13717	14742	
194	232	13717	14742	
244	244	13717	14742	
248	248	13717	14742	
264	264	13717	14742	
277	277	13717	14742	
284	284	13717	14742	
285	285	13717	14742	
286	286	13717	14742	
289	289	13717	14742	
300	300	13717	14742	
307	307	13717	14742	
311	311	13717	14742	
311	311	13717	14742	
