../jeu_100_75_2.txt_5_currentFirst	../jeu_100_75_2.txt_5_bestFirst	../jeu_100_75_2.txt_5_currentBest	../jeu_100_75_2.txt_5_bestBest	
-179.2	-179.2	-185.2	-185.2	
0	0	0	0	
0	0	0	0	
36	36	176	176	
79	79	210	210	
98	98	284	284	
117	117	340	340	
128	128	426	426	
146	146	446	446	
0	146	514	514	
0	146	518	518	
5	146	522	522	
21	146	0	522	
39	146	0	522	
44	146	14	522	
68	146	26	522	
70	146	70	522	
98	146	0	522	
101	146	0	522	
132	146	167	522	
133	146	290	522	
136	146	358	522	
140	146	418	522	
144	146	432	522	
0	146	481	522	
0	146	541	541	
46	146	578	578	
50	146	584	584	
84	146	0	584	
89	146	0	584	
102	146	216	584	
115	146	242	584	
137	146	264	584	
143	146	278	584	
156	156	291	584	
164	164	293	584	
176	176	0	584	
186	186	0	584	
187	187	5	584	
0	187	3846	3846	
0	187	3846	3846	
34	187	3846	3846	
84	187	3846	3846	
89	187	3846	3846	
97	187	3846	3846	
108	187	3846	3846	
118	187	3846	3846	
119	187	3846	3846	
0	187	3846	3846	
0	187	3846	3846	
35	187	3846	3846	
43	187	3846	3846	
45	187	3846	3846	
51	187	3846	3846	
57	187	3846	3846	
76	187	3846	3846	
78	187	3846	3846	
93	187	3846	3846	
94	187	3846	3846	
97	187	3846	3846	
97	187	3846	3846	
