../jeu_100_25_4.txt_5_currentFirst	../jeu_100_25_4.txt_5_bestFirst	../jeu_100_25_4.txt_5_currentBest	../jeu_100_25_4.txt_5_bestBest	../jeu_100_75_2.txt_5_currentFirst	../jeu_100_75_2.txt_5_bestFirst	../jeu_100_75_2.txt_5_currentBest	../jeu_100_75_2.txt_5_bestBest	../jeu_200_25_8.txt_5_currentFirst	../jeu_200_25_8.txt_5_bestFirst	../jeu_200_25_8.txt_5_currentBest	../jeu_200_25_8.txt_5_bestBest	../jeu_200_75_5.txt_5_currentFirst	../jeu_200_75_5.txt_5_bestFirst	../jeu_200_75_5.txt_5_currentBest	../jeu_200_75_5.txt_5_bestBest	
-170.44	-170.44	-82.44	-82.44	-207.2	-207.2	-165.2	-165.2	-128.84	-128.84	-482.84	-482.84	-32.24	-32.24	-169.24	-169.24	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	17	76	76	26	26	100	100	23	23	143	143	3	3	139	139	
26	26	100	100	69	69	239	239	30	30	199	199	5	5	288	288	
49	49	13276.9	13276.9	89	89	46919.4	46919.4	62	62	242	242	49	49	335	335	
75	75	15590.9	15590.9	92	92	49987.4	49987.4	72	72	262	262	55	55	368	368	
89	89	17173.9	17173.9	112	112	54488.4	54488.4	101	101	321	321	71	71	370	370	
114	114	18673.9	18673.9	137	137	56962.4	56962.4	109	109	389	389	96	96	0	370	
126	126	20505.9	20505.9	140	140	58224.4	58224.4	113	113	445	445	107	107	0	370	
9131.44	9131.44	21182.9	21182.9	0	140	59135.4	59135.4	129	129	496	496	114	114	148	370	
9426.44	9426.44	21469.9	21469.9	0	140	59936.4	59936.4	131	131	500	500	117	117	298	370	
9485.44	9485.44	22742.9	22742.9	38	140	60847.4	60847.4	143	143	529	529	120	120	364	370	
9549.44	9549.44	23143.9	23143.9	41	140	61680.4	61680.4	162	162	560	560	151	151	376	376	
9550.44	9550.44	23460.9	23460.9	43	140	64055.4	64055.4	165	165	54148.7	54148.7	153	153	423	423	
9756.44	9756.44	23809.9	23809.9	51	140	64697.4	64697.4	175	175	57245.7	57245.7	160	160	429	429	
9840.44	9840.44	24075.9	24075.9	60	140	65071.4	65071.4	181	181	61074.7	61074.7	170	170	485	485	
9847.44	9847.44	24635.9	24635.9	75	140	65644.4	65644.4	189	189	65394.7	65394.7	189	189	166598	166598	
9994.44	9994.44	24878.9	24878.9	83	140	66417.4	66417.4	194	194	67871.7	67871.7	196	196	169976	169976	
10130.4	10130.4	25210.9	25210.9	85	140	67157.4	67157.4	203	203	70231.7	70231.7	198	198	175748	175748	
10591.4	10591.4	25824.9	25824.9	22227.2	22227.2	67990.4	67990.4	209	209	72295.7	72295.7	200	200	185900	185900	
10727.4	10727.4	25930.9	25930.9	22231.2	22231.2	68483.4	68483.4	212	212	72851.7	72851.7	219	219	193684	193684	
10817.4	10817.4	26262.9	26262.9	22868.2	22868.2	69130.4	69130.4	0	212	73409.7	73409.7	220	220	195274	195274	
10922.4	10922.4	26589.9	26589.9	23454.2	23454.2	69749.4	69749.4	0	212	73751.7	73751.7	86847.2	86847.2	200694	200694	
10926.4	10926.4	26928.9	26928.9	24240.2	24240.2	70420.4	70420.4	6	212	74193.7	74193.7	86923.2	86923.2	206255	206255	
11074.4	11074.4	27034.9	27034.9	24362.2	24362.2	70936.4	70936.4	16	212	74380.7	74380.7	87122.2	87122.2	210370	210370	
11081.4	11081.4	27270.9	27270.9	24891.2	24891.2	71413.4	71413.4	48	212	74839.7	74839.7	87399.2	87399.2	213582	213582	
11176.4	11176.4	27995.9	27995.9	24902.2	24902.2	71890.4	71890.4	50	212	75425.7	75425.7	88729.2	88729.2	215152	215152	
11233.4	11233.4	28379.9	28379.9	24927.2	24927.2	73036.4	73036.4	89	212	75940.7	75940.7	88808.2	88808.2	216851	216851	
11382.4	11382.4	28493.9	28493.9	25531.2	25531.2	73906.4	73906.4	121	212	76455.7	76455.7	90031.2	90031.2	218753	218753	
11657.4	11657.4	28599.9	28599.9	26108.2	26108.2	74868.4	74868.4	137	212	76962.7	76962.7	90106.2	90106.2	220250	220250	
11686.4	11686.4	28691.9	28691.9	26841.2	26841.2	75541.4	75541.4	151	212	77304.7	77304.7	90780.2	90780.2	221270	221270	
11708.4	11708.4	28984.9	28984.9	26860.2	26860.2	76350.4	76350.4	158	212	77798.7	77798.7	91702.2	91702.2	222587	222587	
11844.4	11844.4	0	28984.9	0	26860.2	76798.4	76798.4	161	212	77798.7	77798.7	91851.2	91851.2	223866	223866	
11847.4	11847.4	0	28984.9	0	26860.2	77095.4	77095.4	175	212	77798.7	77798.7	91867.2	91867.2	225627	225627	
12146.4	12146.4	58	28984.9	33	26860.2	77515.4	77515.4	182	212	77798.7	77798.7	92112.2	92112.2	226443	226443	
12221.4	12221.4	110	28984.9	83	26860.2	78148.4	78148.4	185	212	77798.7	77798.7	92162.2	92162.2	227893	227893	
12291.4	12291.4	180	28984.9	93	26860.2	78450.4	78450.4	195	212	77798.7	77798.7	92572.2	92572.2	229134	229134	
12296.4	12296.4	17584.9	28984.9	119	26860.2	79156.4	79156.4	208	212	77798.7	77798.7	93013.2	93013.2	229384	229384	
12353.4	12353.4	18992.9	28984.9	157	26860.2	80041.4	80041.4	214	214	77798.7	77798.7	94307.2	94307.2	231069	231069	
