../jeu_100_25_4.txt_5_currentFirst	../jeu_100_25_4.txt_5_bestFirst	../jeu_100_25_4.txt_5_currentBest	../jeu_100_25_4.txt_5_bestBest	
-170.44	-170.44	-223.44	-223.44	
0	0	0	0	
0	0	0	0	
17	17	70	70	
26	26	99	99	
49	49	165	165	
75	75	246	246	
89	89	291	291	
114	114	296	296	
126	126	0	296	
128	128	0	296	
0	128	149	296	
0	128	185	296	
3	128	197	296	
8	128	234	296	
26	128	286	296	
49	128	322	322	
52	128	390	390	
53	128	395	395	
58	128	0	395	
60	128	0	395	
0	128	80	395	
0	128	0	395	
50	128	0	395	
94	128	72	395	
96	128	138	395	
101	128	161	395	
111	128	165	395	
132	132	170	395	
135	135	0	395	
139	139	0	395	
151	151	54	395	
165	165	108	395	
184	184	159	395	
189	189	195	395	
194	194	195	395	
0	194	195	395	
0	194	195	395	
38	194	195	395	
67	194	195	395	
84	194	195	395	
115	194	195	395	
116	194	195	395	
147	194	195	395	
152	194	195	395	
0	194	195	395	
0	194	195	395	
1	194	195	395	
5	194	195	395	
21	194	195	395	
42	194	195	395	
53	194	195	395	
88	194	195	395	
96	194	195	395	
111	194	195	395	
129	194	195	395	
150	194	195	395	
153	194	195	395	
156	194	195	395	
156	194	195	395	
