../jeu_200_75_5.txt_3_currentSA	../jeu_200_75_5.txt_3_bestSA	../jeu_200_75_5.txt_3_currentTS	../jeu_200_75_5.txt_3_bestTS	../jeu_200_75_5.txt_3_currentGrasp	../jeu_200_75_5.txt_3_bestGrasp	../jeu_200_75_5.txt_3_currentIG	../jeu_200_75_5.txt_3_bestIG	
-181.733	-181.733	-46.7333	-46.7333	-159.733	-159.733	-139.733	-139.733	
-181.733	-181.733	129855	129855	27	27	80	80	
-181.733	-181.733	132375	132375	103	103	210	210	
-142.733	-142.733	134769	134769	303	303	322	322	
-100.733	-100.733	137045	137045	415	415	444	444	
-100.733	-100.733	139347	139347	604	604	765	765	
-54.7333	-54.7333	141632	141632	947	947	901	901	
-54.7333	-54.7333	143883	143883	1177	1177	1246	1246	
-54.7333	-54.7333	146051	146051	1574	1574	1592	1592	
-54.7333	-54.7333	147649	147649	1961	1961	2003	2003	
-54.7333	-54.7333	149263	149263	2400	2400	2330	2330	
-43.7333	-43.7333	150921	150921	2737	2737	2750	2750	
-43.7333	-43.7333	152593	152593	3106	3106	3201	3201	
-43.7333	-43.7333	154290	154290	3830	3830	3852	3852	
-43.7333	-43.7333	156028	156028	4435	4435	4689	4689	
-43.7333	-43.7333	157769	157769	5107	5107	5411	5411	
-43.7333	-43.7333	159531	159531	5930	5930	5937	5937	
-43.7333	-43.7333	161323	161323	6786	6786	6634	6634	
-49.7333	-43.7333	163111	163111	7377	7377	7357	7357	
-49.7333	-43.7333	164909	164909	8221	8221	8112	8112	
-49.7333	-43.7333	166770	166770	8943	8943	8694	8694	
-46.7333	-43.7333	168619	168619	9810	9810	9837	9837	
-46.7333	-43.7333	170546	170546	10756	10756	10777	10777	
-46.7333	-43.7333	170449	170546	11789	11789	11789	11789	
-24.7333	-24.7333	170618	170618	12409	12409	12500	12500	
-7.73333	-7.73333	170289	170618	13552	13552	13215	13215	
-7.73333	-7.73333	169657	170618	14570	14570	14060	14060	
-7.73333	-7.73333	170299	170618	15631	15631	15195	15195	
-7.73333	-7.73333	169977	170618	16540	16540	16043	16043	
-7.73333	-7.73333	168463	170618	17423	17423	17000	17000	
-16.7333	-7.73333	170704	170704	18291	18291	18317	18317	
-16.7333	-7.73333	171039	171039	19353	19353	19684	19684	
-16.7333	-7.73333	173130	173130	20880	20880	20653	20653	
-16.7333	-7.73333	171553	173130	22107	22107	22068	22068	
-16.7333	-7.73333	173514	173514	23282	23282	23503	23503	
-16.7333	-7.73333	175517	175517	25153	25153	24811	24811	
-40.7333	-7.73333	177403	177403	26420	26420	25956	25956	
-40.7333	-7.73333	179193	179193	27663	27663	27942	27942	
-40.7333	-7.73333	180899	180899	29364	29364	29493	29493	
-40.7333	-7.73333	179290	180899	30655	30655	30887	30887	
-40.7333	-7.73333	181768	181768	31878	31878	32575	32575	
-52.7333	-7.73333	184269	184269	33540	33540	34033	34033	
-52.7333	-7.73333	184923	184923	35425	35425	35625	35625	
-52.7333	-7.73333	185394	185394	37068	37068	37342	37342	
-52.7333	-7.73333	185993	185993	38785	38785	39207	39207	
-52.7333	-7.73333	186252	186252	40710	40710	40792	40792	
-63.7333	-7.73333	185710	186252	42372	42372	42560	42560	
-63.7333	-7.73333	185996	186252	43956	43956	44439	44439	
-63.7333	-7.73333	184271	186252	45736	45736	46465	46465	
-63.7333	-7.73333	184304	186252	47612	47612	48169	48169	
-63.7333	-7.73333	184492	186252	49587	49587	49898	49898	
-17.7333	-7.73333	184545	186252	51487	51487	51736	51736	
-17.7333	-7.73333	184576	186252	53568	53568	53786	53786	
-17.7333	-7.73333	184377	186252	55794	55794	56016	56016	
-17.7333	-7.73333	184226	186252	57667	57667	57913	57913	
-17.7333	-7.73333	184142	186252	59813	59813	59789	59789	
-47.7333	-7.73333	183846	186252	62058	62058	61879	61879	
-47.7333	-7.73333	184289	186252	64138	64138	64065	64065	
-47.7333	-7.73333	184104	186252	66339	66339	66747	66747	
-47.7333	-7.73333	183852	186252	68507	68507	69154	69154	
-47.7333	-7.73333	183367	186252	71268	71268	71401	71401	
-47.7333	-7.73333	181642	186252	73097	73097	73780	73780	
-47.7333	-7.73333	184304	186252	75434	75434	76197	76197	
-22.7333	-7.73333	186822	186822	77853	77853	78419	78419	
-32.7333	-7.73333	189252	189252	80288	80288	81024	81024	
-32.7333	-7.73333	187452	189252	83002	83002	83844	83844	
-32.7333	-7.73333	189558	189558	85608	85608	86555	86555	
-32.7333	-7.73333	187781	189558	88007	88007	88519	88519	
-32.7333	-7.73333	189699	189699	90647	90647	90918	90918	
-58.7333	-7.73333	187927	189699	93212	93212	93703	93703	
