../jeu_100_25_4.txt_5_currentSA	../jeu_100_25_4.txt_5_bestSA	../jeu_100_25_4.txt_5_currentTS	../jeu_100_25_4.txt_5_bestTS	../jeu_100_25_4.txt_5_currentGrasp	../jeu_100_25_4.txt_5_bestGrasp	../jeu_100_25_4.txt_5_currentIG	../jeu_100_25_4.txt_5_bestIG	
-221.44	-221.44	-68.44	-68.44	-208.44	-208.44	-96.44	-96.44	
-171.44	-171.44	-60.44	-60.44	80	80	92	92	
-171.44	-171.44	-60.44	-60.44	172	172	172	172	
-171.44	-171.44	-60.44	-60.44	349	349	269	269	
-171.44	-171.44	-60.44	-60.44	535	535	326	326	
-159.44	-159.44	-60.44	-60.44	572	572	424	424	
-159.44	-159.44	-60.44	-60.44	655	655	458	458	
-141.44	-141.44	-51.44	-51.44	752	752	541	541	
-128.44	-128.44	-31.44	-31.44	955	955	716	716	
-128.44	-128.44	-25.44	-25.44	1012	1012	865	865	
-128.44	-128.44	-17.44	-17.44	1160	1160	1067	1067	
-128.44	-128.44	-3.44	-3.44	1209	1209	1226	1226	
-103.44	-103.44	9946	9946	1435	1435	1574	1574	
-119.44	-103.44	10321	10321	1681	1681	1963	1963	
-87.44	-87.44	10632	10632	1843	1843	2246	2246	
-87.44	-87.44	10929	10929	1911	1911	2497	2497	
-87.44	-87.44	11220	11220	2270	2270	2596	2596	
-94.44	-87.44	11544	11544	2387	2387	3044	3044	
-94.44	-87.44	11973	11973	2703	2703	3306	3306	
-111.44	-87.44	12222	12222	2973	2973	3691	3691	
-111.44	-87.44	12393	12393	3240	3240	3858	3858	
-151.44	-87.44	12562	12562	3403	3403	4283	4283	
-151.44	-87.44	12706	12706	3525	3525	4870	4870	
-151.44	-87.44	12832	12832	3947	3947	5027	5027	
-151.44	-87.44	12921	12921	4151	4151	5352	5352	
-151.44	-87.44	13156	13156	4584	4584	5672	5672	
-151.44	-87.44	13340	13340	4724	4724	5970	5970	
-127.44	-87.44	13444	13444	5092	5092	6261	6261	
-127.44	-87.44	13532	13532	5344	5344	6782	6782	
-127.44	-87.44	13575	13575	5416	5416	7148	7148	
-127.44	-87.44	13520	13575	5692	5692	7633	7633	
-127.44	-87.44	13605	13605	6217	6217	8193	8193	
-127.44	-87.44	13657	13657	6840	6840	8299	8299	
-110.44	-87.44	13770	13770	7080	7080	8624	8624	
-110.44	-87.44	13804	13804	7549	7549	9220	9220	
-110.44	-87.44	13812	13812	7989	7989	9300	9300	
-81.44	-81.44	14133	14133	8317	8317	9466	9466	
-81.44	-81.44	14043	14133	8676	8676	9607	9607	
-126.44	-81.44	14203	14203	8756	8756	9867	9867	
-126.44	-81.44	14241	14241	8975	8975	10090	10090	
