../jeu_100_75_2.txt_1000_best	../jeu_100_75_2.txt_1000_current	
-41.5219	-87.2	
-41.5219	-87.2	
-40.8175	-70.8	
-40.8175	-79	
-40.8175	-87.2	
-40.8175	-87.2	
-40.8175	-87.2	
-40.8175	-79	
-40.8175	-87.2	
-40.8175	-79	
-40.8175	-87.2	
-40.8175	-95.4	
-40.8175	-87.2	
-40.8175	-87.2	
-40.8175	-79	
-40.8175	-79	
-40.8175	-87.2	
-40.8175	-95.4	
-40.8175	-79	
-40.254	-79	
-40.254	-79	
-40.254	-95.4	
-40.254	-79	
-40.254	-95.4	
-40.254	-95.4	
-40.254	-79	
-40.254	-87.2	
-40.254	-79	
-40.254	-95.4	
-40.254	-87.2	
-40.254	-87.2	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-87.2	
-40.254	-79	
-40.254	-103.6	
-40.254	-95.4	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-87.2	
-40.254	-87.2	
-40.254	-87.2	
-40.254	-87.2	
-40.254	-95.4	
-40.254	-79	
-40.254	-87.2	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-79	
-40.254	-87.2	
-40.254	-87.2	
-40.254	-79	
-40.254	-87.2	
-40.254	-87.2	
-40.254	-79	
-40.254	-87.2	
-40.254	-95.4	
-40.254	-95.4	
-39.8032	-79	
-39.8032	-79	
-39.8032	-79	
-39.8032	-87.2	
-39.8032	-87.2	
-39.8032	-79	
-39.8032	-79	
-39.8032	-79	
-39.8032	-79	
-39.8032	-79	
-39.8032	-87.2	
-39.8032	-79	
-39.8032	-79	
-39.4426	-70.8	
-39.4426	-79	
-39.4426	-95.4	
-39.4426	-87.2	
-39.4426	-95.4	
-39.4426	-79	
-39.4426	-79	
-39.4426	-79	
-39.4426	-79	
-39.4426	-79	
-39.4426	-79	
-39.4426	-95.4	
-39.4426	-79	
-39.4426	-79	
-39.4426	-87.2	
-39.4426	-87.2	
-39.4426	-87.2	
-39.4426	-79	
-39.4426	-79	
-39.4426	-87.2	
-39.4426	-87.2	
-39.4426	-79	
-39.4426	-87.2	
-39.4426	-79	
-39.4426	-79	
-39.4426	-79	
-39.4426	-95.4	
-39.4426	-79	
-39.4426	-87.2	
-39.4426	-95.4	
-39.4426	-79	
-39.4426	-79	
-39.4426	-87.2	
-39.4426	-95.4	
-39.4426	-79	
-39.4426	-87.2	
-39.4426	-79	
-39.154	-70.8	
-39.154	-95.4	
-39.154	-79	
-39.154	-79	
-39.154	-95.4	
-39.154	-95.4	
-39.154	-79	
-39.154	-79	
-39.154	-79	
-39.154	-103.6	
-39.154	-87.2	
-39.154	-87.2	
-39.154	-79	
-39.154	-79	
-39.154	-79	
-39.154	-79	
-39.154	-87.2	
-39.154	-79	
-39.154	-87.2	
-39.154	-79	
-39.154	-103.6	
-39.154	-79	
-39.154	-79	
-38.9232	-70.8	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-103.6	
-38.9232	-87.2	
-38.9232	-87.2	
-38.9232	-95.4	
-38.9232	-79	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-87.2	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-87.2	
-38.9232	-87.2	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-95.4	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-79	
-38.9232	-95.4	
-38.9232	-79	
-38.9232	-87.2	
-38.9232	-79	
-38.9232	-79	
-38.9232	-87.2	
-38.7386	-70.8	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-79	
-38.7386	-95.4	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-95.4	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-95.4	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.7386	-87.2	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-95.4	
-38.7386	-87.2	
-38.7386	-79	
-38.7386	-95.4	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.7386	-79	
-38.5909	-79	
-38.5909	-79	
-38.5909	-87.2	
-38.5909	-87.2	
-38.5909	-79	
-38.5909	-79	
-38.5909	-79	
-38.5909	-79	
-38.5909	-87.2	
-38.5909	-79	
-38.5909	-79	
-38.5909	-79	
-38.5909	-79	
-38.5909	-87.2	
-38.5909	-87.2	
-38.5909	-87.2	
-38.5909	-95.4	
-38.5909	-79	
-38.5909	-95.4	
-38.5909	-79	
-38.5909	-79	
-38.5909	-87.2	
-38.5909	-87.2	
-38.5909	-87.2	
-38.5909	-87.2	
-38.5909	-79	
-38.4727	-70.8	
-38.4727	-79	
-38.4727	-79	
-38.4727	-79	
-38.4727	-79	
-38.4727	-79	
-38.4727	-79	
-38.4727	-79	
-38.4727	-79	
-38.3782	-70.8	
-38.3782	-103.6	
-38.3782	-79	
-38.3782	-79	
-38.3782	-87.2	
-38.3782	-87.2	
-38.3782	-87.2	
-38.3782	-87.2	
-38.3782	-79	
-38.3782	-87.2	
-38.3782	-79	
-38.3782	-79	
-38.3782	-87.2	
-38.3782	-87.2	
-38.3782	-87.2	
-38.3782	-79	
-38.3782	-79	
-38.3782	-79	
-38.3782	-79	
-38.3782	-79	
-38.3782	-87.2	
-38.3782	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
