../jeu_100_75_2.txt_5_currentSA	../jeu_100_75_2.txt_5_bestSA	../jeu_100_75_2.txt_5_currentTS	../jeu_100_75_2.txt_5_bestTS	../jeu_100_75_2.txt_5_currentGrasp	../jeu_100_75_2.txt_5_bestGrasp	../jeu_100_75_2.txt_5_currentIG	../jeu_100_75_2.txt_5_bestIG	
-236.2	-236.2	-223.2	-223.2	-163.2	-163.2	-134.2	-134.2	
-198.2	-198.2	-173.2	-173.2	59	59	59	59	
-198.2	-198.2	-149.2	-149.2	110	110	192	192	
-198.2	-198.2	-125.2	-125.2	159	159	329	329	
-198.2	-198.2	-110.2	-110.2	290	290	419	419	
-196.2	-196.2	-91.2	-91.2	421	421	578	578	
-196.2	-196.2	-66.2	-66.2	495	495	780	780	
-159.2	-159.2	-56.2	-56.2	733	733	974	974	
-123.2	-123.2	-26.2	-26.2	1045	1045	1382	1382	
-123.2	-123.2	-23.2	-23.2	1312	1312	1866	1866	
-123.2	-123.2	24483	24483	1839	1839	2152	2152	
-123.2	-123.2	25466	25466	2223	2223	2807	2807	
-95.2	-95.2	26389	26389	2523	2523	3399	3399	
-119.2	-95.2	27299	27299	2936	2936	4023	4023	
-116.2	-95.2	28131	28131	3378	3378	4607	4607	
-116.2	-95.2	28840	28840	4159	4159	5256	5256	
-116.2	-95.2	29495	29495	4738	4738	6148	6148	
-116.2	-95.2	30142	30142	5071	5071	6889	6889	
-116.2	-95.2	30552	30552	5782	5782	7724	7724	
-116.2	-95.2	30786	30786	6430	6430	8525	8525	
-109.2	-95.2	31021	31021	7110	7110	8999	8999	
-130.2	-95.2	31216	31216	7955	7955	10067	10067	
-130.2	-95.2	31555	31555	8785	8785	10967	10967	
-130.2	-95.2	31755	31755	9608	9608	11912	11912	
-130.2	-95.2	32446	32446	10599	10599	13197	13197	
-130.2	-95.2	32510	32510	11713	11713	14465	14465	
-130.2	-95.2	32581	32581	12850	12850	15497	15497	
-112.2	-95.2	32623	32623	13904	13904	16299	16299	
-112.2	-95.2	32434	32623	14669	14669	17394	17394	
-112.2	-95.2	32267	32623	15654	15654	18857	18857	
-112.2	-95.2	31884	32623	16481	16481	20155	20155	
-114.2	-95.2	31469	32623	17957	17957	21178	21178	
-114.2	-95.2	32159	32623	18606	18606	21912	21912	
-126.2	-95.2	32276	32623	19885	19885	23215	23215	
-126.2	-95.2	32448	32623	21401	21401	24532	24532	
-100.2	-95.2	32580	32623	23003	23003	25819	25819	
-83.2	-83.2	32689	32689	24290	24290	27257	27257	
-67.2	-67.2	32868	32868	25594	25594	28792	28792	
-103.2	-67.2	32897	32897	27218	27218	30307	30307	
-103.2	-67.2	32808	32897	28652	28652	30377	30377	
-75.2	-67.2	32811	32897	30181	30181	30528	30528	
-91.2	-67.2	32929	32929	30251	30251	30700	30700	
-91.2	-67.2	32863	32929	30397	30397	30913	30913	
-101.2	-67.2	33115	33115	30560	30560	31203	31203	
-129.2	-67.2	33041	33115	30794	30794	31521	31521	
-141.2	-67.2	32839	33115	31031	31031	31953	31953	
-141.2	-67.2	32969	33115	31327	31327	32393	32393	
-141.2	-67.2	32859	33115	31724	31724	32914	32914	
-141.2	-67.2	32683	33115	32246	32246	33296	33296	
-99.2	-67.2	32464	33115	32631	32631	33738	33738	
-122.2	-67.2	32006	33115	33108	33108	34165	34165	
-122.2	-67.2	33057	33115	33542	33542	34824	34824	
-122.2	-67.2	33075	33115	33981	33981	35444	35444	
-101.2	-67.2	33680	33680	34451	34451	36268	36268	
-143.2	-67.2	33796	33796	35156	35156	36363	36363	
-148.2	-67.2	34002	34002	35602	35602	36485	36485	
-148.2	-67.2	33529	34002	35697	35697	36694	36694	
-169.2	-67.2	34260	34260	35835	35835	36979	36979	
-201.2	-67.2	33821	34260	36019	36019	37266	37266	
-201.2	-67.2	34518	34518	36157	36157	37583	37583	
-201.2	-67.2	34003	34518	36370	36370	37959	37959	
-151.2	-67.2	34723	34723	36681	36681	38343	38343	
-165.2	-67.2	34585	34723	37064	37064	38819	38819	
-144.2	-67.2	34164	34723	37381	37381	39257	39257	
-172.2	-67.2	33631	34723	37821	37821	39771	39771	
-172.2	-67.2	34407	34723	38396	38396	40434	40434	
-172.2	-67.2	34785	34785	38904	38904	40531	40531	
-191.2	-67.2	34774	34785	39500	39500	40632	40632	
-181.2	-67.2	34275	34785	39571	39571	40805	40805	
-151.2	-67.2	34824	34824	39667	39667	40976	40976	
-151.2	-67.2	34921	34921	39843	39843	41234	41234	
-148.2	-67.2	35296	35296	40118	40118	41577	41577	
-151.2	-67.2	35298	35298	40278	40278	41963	41963	
-185.2	-67.2	35118	35298	40569	40569	42411	42411	
-185.2	-67.2	34788	35298	40956	40956	42790	42790	
-194.2	-67.2	34217	35298	41291	41291	43327	43327	
-194.2	-67.2	35073	35298	41622	41622	43735	43735	
-194.2	-67.2	34491	35298	41875	41875	43814	43814	
-194.2	-67.2	35010	35298	42417	42417	43921	43921	
-194.2	-67.2	35044	35298	42456	42456	44150	44150	
-194.2	-67.2	34872	35298	42549	42549	44359	44359	
-194.2	-67.2	34949	35298	42762	42762	44619	44619	
