../jeu_100_25_4.txt_3_currentGA	../jeu_100_25_4.txt_3_bestGA	../jeu_100_25_4.txt_3_currentACO	../jeu_100_25_4.txt_3_bestACO	
-103.733	-103.733	14572	14572	
-244.733	-103.733	15198	15198	
-147.733	-103.733	16338	16338	
14896	14896	14487	16338	
-61.7333	14896	16021	16338	
-28.7333	14896	16338	16338	
-90.7333	14896	16338	16338	
-68.7333	14896	16338	16338	
-213.733	14896	16338	16338	
-56.7333	14896	16206	16338	
-192.733	14896	16338	16338	
-169.733	14896	16338	16338	
-45.7333	14896	16338	16338	
-137.733	14896	16338	16338	
-45.7333	14896	16338	16338	
14364	14896	16338	16338	
-6.73333	14896	16338	16338	
-27.7333	14896	16338	16338	
11140	14896	16338	16338	
-267.733	14896	16338	16338	
-34.7333	14896	16338	16338	
-27.7333	14896	16338	16338	
-254.733	14896	16338	16338	
-116.733	14896	16338	16338	
-169.733	14896	16338	16338	
-99.7333	14896	16338	16338	
10450	14896	16338	16338	
-48.7333	14896	16338	16338	
-304.733	14896	16338	16338	
-220.733	14896	16338	16338	
-79.7333	14896	16338	16338	
-91.7333	14896	16338	16338	
-64.7333	14896	16338	16338	
-113.733	14896	16338	16338	
11043	14896	16338	16338	
-89.7333	14896	16338	16338	
-216.733	14896	16338	16338	
-89.7333	14896	16338	16338	
-32.7333	14896	16338	16338	
-75.7333	14896	16338	16338	
-84.7333	14896	16338	16338	
-65.7333	14896	16338	16338	
-77.7333	14896	16338	16338	
-6.73333	14896	16338	16338	
-15.7333	14896	16338	16338	
-44.7333	14896	16338	16338	
-95.7333	14896	16338	16338	
-245.733	14896	16338	16338	
-141.733	14896	16338	16338	
-63.7333	14896	16338	16338	
-68.7333	14896	16338	16338	
-41.7333	14896	16338	16338	
-72.7333	14896	16338	16338	
-184.733	14896	16338	16338	
-110.733	14896	16338	16338	
-109.733	14896	16338	16338	
-380.733	14896	16338	16338	
12527	14896	16338	16338	
-177.733	14896	16338	16338	
-204.733	14896	16338	16338	
-195.733	14896	16338	16338	
-269.733	14896	16338	16338	
-52.7333	14896	16338	16338	
-68.7333	14896	16338	16338	
-87.7333	14896	16338	16338	
-222.733	14896	16338	16338	
-249.733	14896	16338	16338	
12269	14896	16338	16338	
-144.733	14896	16338	16338	
13133	14896	16338	16338	
-146.733	14896	16338	16338	
-69.7333	14896	16338	16338	
-73.7333	14896	16338	16338	
10489	14896	16338	16338	
-75.7333	14896	16338	16338	
-131.733	14896	16338	16338	
-147.733	14896	16338	16338	
-147.733	14896	16338	16338	
-240.733	14896	16338	16338	
-34.7333	14896	16338	16338	
-131.733	14896	16338	16338	
-101.733	14896	16338	16338	
-93.7333	14896	16338	16338	
-96.7333	14896	16338	16338	
-47.7333	14896	16338	16338	
-15.7333	14896	16338	16338	
-237.733	14896	16338	16338	
-228.733	14896	16338	16338	
-28.7333	14896	16338	16338	
-88.7333	14896	16338	16338	
-58.7333	14896	16338	16338	
-11.7333	14896	16338	16338	
-97.7333	14896	16338	16338	
-298.733	14896	16338	16338	
-109.733	14896	16338	16338	
-89.7333	14896	16338	16338	
-66.7333	14896	16338	16338	
-4.73333	14896	16338	16338	
-8.73333	14896	16338	16338	
-59.7333	14896	16338	16338	
-92.7333	14896	16338	16338	
-113.733	14896	16338	16338	
-279.733	14896	16338	16338	
-153.733	14896	16338	16338	
-7.73333	14896	16338	16338	
-89.7333	14896	16338	16338	
-3.73333	14896	16338	16338	
-195.733	14896	16338	16338	
-98.7333	14896	16338	16338	
-83.7333	14896	16338	16338	
-135.733	14896	16338	16338	
-31.7333	14896	16338	16338	
-181.733	14896	16338	16338	
-80.7333	14896	16338	16338	
14364	14896	16338	16338	
10846	14896	16338	16338	
-71.7333	14896	16338	16338	
14476	14896	16338	16338	
-144.733	14896	16338	16338	
-63.7333	14896	16338	16338	
11405	14896	16338	16338	
-34.7333	14896	16338	16338	
-44.7333	14896	16338	16338	
12272	14896	16338	16338	
-143.733	14896	16338	16338	
-66.7333	14896	16338	16338	
13159	14896	16338	16338	
-131.733	14896	16338	16338	
-91.7333	14896	16338	16338	
-26.7333	14896	16338	16338	
-125.733	14896	16338	16338	
-48.7333	14896	16338	16338	
-86.7333	14896	16338	16338	
11951	14896	16338	16338	
-148.733	14896	16338	16338	
14364	14896	16338	16338	
-134.733	14896	16338	16338	
-39.7333	14896	16338	16338	
-127.733	14896	16338	16338	
-97.7333	14896	16338	16338	
13647	14896	16338	16338	
-193.733	14896	16338	16338	
13013	14896	16338	16338	
-163.733	14896	16338	16338	
-135.733	14896	16338	16338	
-6.73333	14896	16338	16338	
-23.7333	14896	16338	16338	
-68.7333	14896	16338	16338	
14044	14896	16338	16338	
-82.7333	14896	16338	16338	
-8.73333	14896	16338	16338	
-101.733	14896	16338	16338	
-30.7333	14896	16338	16338	
12654	14896	16338	16338	
-190.733	14896	16338	16338	
-36.7333	14896	16338	16338	
-56.7333	14896	16338	16338	
-144.733	14896	16338	16338	
-4.73333	14896	16338	16338	
-79.7333	14896	16338	16338	
-60.7333	14896	16338	16338	
12014	14896	16338	16338	
-163.733	14896	16338	16338	
-92.7333	14896	16338	16338	
-47.7333	14896	16338	16338	
-73.7333	14896	16338	16338	
-246.733	14896	16338	16338	
-55.7333	14896	16338	16338	
-46.7333	14896	16338	16338	
-147.733	14896	16338	16338	
-53.7333	14896	16338	16338	
-110.733	14896	16338	16338	
-1.73333	14896	16338	16338	
-153.733	14896	16338	16338	
-47.7333	14896	16338	16338	
12584	14896	16338	16338	
-104.733	14896	16338	16338	
12062	14896	16338	16338	
-29.7333	14896	16338	16338	
-121.733	14896	16338	16338	
13459	14896	16338	16338	
13694	14896	16338	16338	
11768	14896	16338	16338	
-108.733	14896	16338	16338	
-17.7333	14896	16338	16338	
-163.733	14896	16338	16338	
-56.7333	14896	16338	16338	
-137.733	14896	16338	16338	
-109.733	14896	16338	16338	
12404	14896	16338	16338	
14843	14896	16338	16338	
14145	14896	16338	16338	
13235	14896	16338	16338	
-28.7333	14896	16338	16338	
-234.733	14896	16338	16338	
-6.73333	14896	16338	16338	
-130.733	14896	16338	16338	
13844	14896	16338	16338	
-29.7333	14896	16338	16338	
-62.7333	14896	16338	16338	
11892	14896	16338	16338	
-274.733	14896	16338	16338	
-95.7333	14896	16338	16338	
-74.7333	14896	16338	16338	
-116.733	14896	16338	16338	
12339	14896	16338	16338	
-17.7333	14896	16338	16338	
12616	14896	16338	16338	
-132.733	14896	16338	16338	
13535	14896	16338	16338	
-134.733	14896	16338	16338	
-20.7333	14896	16338	16338	
11098	14896	16338	16338	
12166	14896	16338	16338	
-42.7333	14896	16338	16338	
13493	14896	16338	16338	
-76.7333	14896	16338	16338	
-33.7333	14896	16338	16338	
12024	14896	16338	16338	
-28.7333	14896	16338	16338	
12955	14896	16338	16338	
10365	14896	16338	16338	
13429	14896	16338	16338	
13503	14896	16338	16338	
-13.7333	14896	16338	16338	
12565	14896	16338	16338	
-35.7333	14896	16338	16338	
-23.7333	14896	16338	16338	
14195	14896	16338	16338	
10030	14896	16338	16338	
-22.7333	14896	16338	16338	
14640	14896	16338	16338	
13157	14896	16338	16338	
-8.73333	14896	16338	16338	
13304	14896	16338	16338	
-163.733	14896	16338	16338	
10727	14896	16338	16338	
14064	14896	16338	16338	
-73.7333	14896	16338	16338	
12630	14896	16338	16338	
-67.7333	14896	16338	16338	
13433	14896	16338	16338	
13040	14896	16338	16338	
-6.73333	14896	16338	16338	
-75.7333	14896	16338	16338	
-60.7333	14896	16338	16338	
11094	14896	16338	16338	
12262	14896	16338	16338	
-4.73333	14896	16338	16338	
-35.7333	14896	16338	16338	
-12.7333	14896	16338	16338	
-63.7333	14896	16338	16338	
-79.7333	14896	16338	16338	
-169.733	14896	16338	16338	
10657	14896	16338	16338	
-2.73333	14896	16338	16338	
-39.7333	14896	16338	16338	
-12.7333	14896	16338	16338	
-62.7333	14896	16338	16338	
-31.7333	14896	16338	16338	
-22.7333	14896	16338	16338	
-119.733	14896	16338	16338	
10600	14896	16338	16338	
12154	14896	16338	16338	
12722	14896	16338	16338	
-30.7333	14896	16338	16338	
-57.7333	14896	16338	16338	
11816	14896	16338	16338	
-39.7333	14896	16338	16338	
-73.7333	14896	16338	16338	
-88.7333	14896	16338	16338	
13862	14896	16338	16338	
14491	14896	16338	16338	
-196.733	14896	16338	16338	
12810	14896	16338	16338	
15041	15041	16338	16338	
-23.7333	15041	16338	16338	
13821	15041	16338	16338	
-128.733	15041	16338	16338	
-36.7333	15041	16338	16338	
-98.7333	15041	16338	16338	
11909	15041	16338	16338	
-27.7333	15041	16338	16338	
-23.7333	15041	16338	16338	
-62.7333	15041	16338	16338	
12476	15041	16338	16338	
14634	15041	16338	16338	
11950	15041	16338	16338	
12174	15041	16338	16338	
-11.7333	15041	16338	16338	
12936	15041	16338	16338	
-47.7333	15041	16338	16338	
-0.733333	15041	16338	16338	
-175.733	15041	16338	16338	
12587	15041	16338	16338	
12122	15041	16338	16338	
11979	15041	16338	16338	
12077	15041	16338	16338	
11105	15041	16338	16338	
12743	15041	16338	16338	
13429	15041	16338	16338	
11570	15041	16338	16338	
-28.7333	15041	16338	16338	
14064	15041	16338	16338	
-19.7333	15041	16338	16338	
-225.733	15041	16338	16338	
-3.73333	15041	16338	16338	
-66.7333	15041	16338	16338	
11745	15041	16338	16338	
15994	15994	16338	16338	
12450	15994	16338	16338	
10668	15994	16338	16338	
-105.733	15994	16338	16338	
-17.7333	15994	16338	16338	
-44.7333	15994	16338	16338	
12335	15994	a	a	
-88.7333	15994	a	a	
13393	15994	a	a	
13339	15994	a	a	
-21.7333	15994	a	a	
15620	15994	a	a	
14081	15994	a	a	
12703	15994	a	a	
-119.733	15994	a	a	
12232	15994	a	a	
-3.73333	15994	a	a	
-53.7333	15994	a	a	
-82.7333	15994	a	a	
11964	15994	a	a	
12876	15994	a	a	
-63.7333	15994	a	a	
-40.7333	15994	a	a	
12022	15994	a	a	
-29.7333	15994	a	a	
14092	15994	a	a	
14090	15994	a	a	
12766	15994	a	a	
13821	15994	a	a	
-224.733	15994	a	a	
10746	15994	a	a	
-31.7333	15994	a	a	
10958	15994	a	a	
12855	15994	a	a	
-49.7333	15994	a	a	
-13.7333	15994	a	a	
16104	16104	a	a	
11075	16104	a	a	
11766	16104	a	a	
13419	16104	a	a	
-68.7333	16104	a	a	
11954	16104	a	a	
-59.7333	16104	a	a	
-18.7333	16104	a	a	
-45.7333	16104	a	a	
-54.7333	16104	a	a	
14007	16104	a	a	
12094	16104	a	a	
-22.7333	16104	a	a	
-228.733	16104	a	a	
12513	16104	a	a	
-89.7333	16104	a	a	
13157	16104	a	a	
11323	16104	a	a	
-37.7333	16104	a	a	
-14.7333	16104	a	a	
-102.733	16104	a	a	
11349	16104	a	a	
12764	16104	a	a	
10854	16104	a	a	
11338	16104	a	a	
-55.7333	16104	a	a	
10371	16104	a	a	
-13.7333	16104	a	a	
10705	16104	a	a	
-122.733	16104	a	a	
-12.7333	16104	a	a	
14503	16104	a	a	
12956	16104	a	a	
-244.733	16104	a	a	
-96.7333	16104	a	a	
12213	16104	a	a	
12288	16104	a	a	
-31.7333	16104	a	a	
12151	16104	a	a	
-20.7333	16104	a	a	
12404	16104	a	a	
-96.7333	16104	a	a	
-87.7333	16104	a	a	
10981	16104	a	a	
-56.7333	16104	a	a	
12505	16104	a	a	
-36.7333	16104	a	a	
14430	16104	a	a	
11880	16104	a	a	
11766	16104	a	a	
10510	16104	a	a	
10125	16104	a	a	
-94.7333	16104	a	a	
10107	16104	a	a	
13094	16104	a	a	
12727	16104	a	a	
11320	16104	a	a	
-7.73333	16104	a	a	
13396	16104	a	a	
12504	16104	a	a	
13904	16104	a	a	
12475	16104	a	a	
13725	16104	a	a	
-19.7333	16104	a	a	
-68.7333	16104	a	a	
-153.733	16104	a	a	
-143.733	16104	a	a	
11903	16104	a	a	
-172.733	16104	a	a	
13506	16104	a	a	
10503	16104	a	a	
13078	16104	a	a	
-80.7333	16104	a	a	
-18.7333	16104	a	a	
12016	16104	a	a	
-113.733	16104	a	a	
12390	16104	a	a	
-68.7333	16104	a	a	
13371	16104	a	a	
-13.7333	16104	a	a	
-32.7333	16104	a	a	
11978	16104	a	a	
-8.73333	16104	a	a	
-37.7333	16104	a	a	
-51.7333	16104	a	a	
12229	16104	a	a	
-53.7333	16104	a	a	
-84.7333	16104	a	a	
14544	16104	a	a	
-121.733	16104	a	a	
12780	16104	a	a	
13812	16104	a	a	
-24.7333	16104	a	a	
-2.73333	16104	a	a	
-42.7333	16104	a	a	
8508	16104	a	a	
11775	16104	a	a	
9869	16104	a	a	
12603	16104	a	a	
14650	16104	a	a	
10612	16104	a	a	
11851	16104	a	a	
12020	16104	a	a	
-21.7333	16104	a	a	
-76.7333	16104	a	a	
-33.7333	16104	a	a	
-84.7333	16104	a	a	
12554	16104	a	a	
-59.7333	16104	a	a	
12242	16104	a	a	
-26.7333	16104	a	a	
12110	16104	a	a	
13303	16104	a	a	
14705	16104	a	a	
11492	16104	a	a	
11131	16104	a	a	
-136.733	16104	a	a	
-58.7333	16104	a	a	
-48.7333	16104	a	a	
12116	16104	a	a	
-201.733	16104	a	a	
-54.7333	16104	a	a	
12719	16104	a	a	
-25.7333	16104	a	a	
13098	16104	a	a	
-71.7333	16104	a	a	
13189	16104	a	a	
-68.7333	16104	a	a	
-92.7333	16104	a	a	
-7.73333	16104	a	a	
14073	16104	a	a	
10597	16104	a	a	
-89.7333	16104	a	a	
13240	16104	a	a	
-49.7333	16104	a	a	
-4.73333	16104	a	a	
-20.7333	16104	a	a	
12389	16104	a	a	
13812	16104	a	a	
12288	16104	a	a	
13364	16104	a	a	
-77.7333	16104	a	a	
12108	16104	a	a	
10623	16104	a	a	
13502	16104	a	a	
-85.7333	16104	a	a	
-78.7333	16104	a	a	
-91.7333	16104	a	a	
-24.7333	16104	a	a	
10778	16104	a	a	
11090	16104	a	a	
12411	16104	a	a	
-196.733	16104	a	a	
-5.73333	16104	a	a	
-39.7333	16104	a	a	
10821	16104	a	a	
14870	16104	a	a	
13468	16104	a	a	
-18.7333	16104	a	a	
12407	16104	a	a	
12125	16104	a	a	
10822	16104	a	a	
10632	16104	a	a	
11060	16104	a	a	
11847	16104	a	a	
13098	16104	a	a	
-64.7333	16104	a	a	
10125	16104	a	a	
11377	16104	a	a	
12958	16104	a	a	
-79.7333	16104	a	a	
-73.7333	16104	a	a	
-14.7333	16104	a	a	
-65.7333	16104	a	a	
15365	16104	a	a	
-17.7333	16104	a	a	
11226	16104	a	a	
12265	16104	a	a	
-2.73333	16104	a	a	
-41.7333	16104	a	a	
13576	16104	a	a	
-58.7333	16104	a	a	
12767	16104	a	a	
11657	16104	a	a	
10425	16104	a	a	
12257	16104	a	a	
13636	16104	a	a	
-59.7333	16104	a	a	
14200	16104	a	a	
10977	16104	a	a	
-1.73333	16104	a	a	
11256	16104	a	a	
13166	16104	a	a	
11918	16104	a	a	
12954	16104	a	a	
-17.7333	16104	a	a	
12955	16104	a	a	
-65.7333	16104	a	a	
-136.733	16104	a	a	
13009	16104	a	a	
12604	16104	a	a	
-37.7333	16104	a	a	
9828	16104	a	a	
11954	16104	a	a	
-106.733	16104	a	a	
-13.7333	16104	a	a	
11546	16104	a	a	
13417	16104	a	a	
-224.733	16104	a	a	
11978	16104	a	a	
12411	16104	a	a	
-73.7333	16104	a	a	
14026	16104	a	a	
12499	16104	a	a	
-50.7333	16104	a	a	
10105	16104	a	a	
11154	16104	a	a	
10504	16104	a	a	
10900	16104	a	a	
11050	16104	a	a	
-90.7333	16104	a	a	
14972	16104	a	a	
14152	16104	a	a	
12190	16104	a	a	
13429	16104	a	a	
-91.7333	16104	a	a	
13003	16104	a	a	
12951	16104	a	a	
-32.7333	16104	a	a	
12068	16104	a	a	
-67.7333	16104	a	a	
12914	16104	a	a	
-71.7333	16104	a	a	
12306	16104	a	a	
12159	16104	a	a	
12495	16104	a	a	
-24.7333	16104	a	a	
-25.7333	16104	a	a	
16104	16104	a	a	
12080	16104	a	a	
11350	16104	a	a	
12199	16104	a	a	
-123.733	16104	a	a	
14031	16104	a	a	
13176	16104	a	a	
-57.7333	16104	a	a	
11898	16104	a	a	
-96.7333	16104	a	a	
12648	16104	a	a	
13051	16104	a	a	
11345	16104	a	a	
12640	16104	a	a	
-0.733333	16104	a	a	
13033	16104	a	a	
10607	16104	a	a	
-148.733	16104	a	a	
-203.733	16104	a	a	
13809	16104	a	a	
11579	16104	a	a	
-117.733	16104	a	a	
11028	16104	a	a	
-3.73333	16104	a	a	
13331	16104	a	a	
-39.7333	16104	a	a	
-72.7333	16104	a	a	
-1.73333	16104	a	a	
12256	16104	a	a	
-52.7333	16104	a	a	
-122.733	16104	a	a	
-33.7333	16104	a	a	
12293	16104	a	a	
-14.7333	16104	a	a	
-88.7333	16104	a	a	
-145.733	16104	a	a	
12758	16104	a	a	
12215	16104	a	a	
11821	16104	a	a	
-30.7333	16104	a	a	
13303	16104	a	a	
-131.733	16104	a	a	
-24.7333	16104	a	a	
13416	16104	a	a	
10739	16104	a	a	
11852	16104	a	a	
10820	16104	a	a	
12480	16104	a	a	
-101.733	16104	a	a	
-12.7333	16104	a	a	
10630	16104	a	a	
-44.7333	16104	a	a	
-87.7333	16104	a	a	
13922	16104	a	a	
-136.733	16104	a	a	
-35.7333	16104	a	a	
12686	16104	a	a	
-70.7333	16104	a	a	
-65.7333	16104	a	a	
-131.733	16104	a	a	
-91.7333	16104	a	a	
-140.733	16104	a	a	
11079	16104	a	a	
-5.73333	16104	a	a	
-67.7333	16104	a	a	
10232	16104	a	a	
-30.7333	16104	a	a	
12708	16104	a	a	
-63.7333	16104	a	a	
-48.7333	16104	a	a	
-80.7333	16104	a	a	
-111.733	16104	a	a	
-8.73333	16104	a	a	
13065	16104	a	a	
-29.7333	16104	a	a	
-44.7333	16104	a	a	
13106	16104	a	a	
11751	16104	a	a	
12043	16104	a	a	
11630	16104	a	a	
11972	16104	a	a	
-19.7333	16104	a	a	
12087	16104	a	a	
-25.7333	16104	a	a	
-147.733	16104	a	a	
12725	16104	a	a	
-0.733333	16104	a	a	
9626	16104	a	a	
12905	16104	a	a	
-15.7333	16104	a	a	
-141.733	16104	a	a	
-5.73333	16104	a	a	
-53.7333	16104	a	a	
13374	16104	a	a	
-89.7333	16104	a	a	
-58.7333	16104	a	a	
11624	16104	a	a	
12744	16104	a	a	
15010	16104	a	a	
-60.7333	16104	a	a	
-32.7333	16104	a	a	
13071	16104	a	a	
13705	16104	a	a	
13437	16104	a	a	
-159.733	16104	a	a	
13525	16104	a	a	
13719	16104	a	a	
-44.7333	16104	a	a	
-48.7333	16104	a	a	
15014	16104	a	a	
11360	16104	a	a	
12418	16104	a	a	
10023	16104	a	a	
-52.7333	16104	a	a	
12478	16104	a	a	
-21.7333	16104	a	a	
-49.7333	16104	a	a	
-109.733	16104	a	a	
10684	16104	a	a	
-11.7333	16104	a	a	
-24.7333	16104	a	a	
-35.7333	16104	a	a	
12594	16104	a	a	
13348	16104	a	a	
14276	16104	a	a	
9263	16104	a	a	
11334	16104	a	a	
11642	16104	a	a	
-39.7333	16104	a	a	
13184	16104	a	a	
13321	16104	a	a	
11241	16104	a	a	
11161	16104	a	a	
11778	16104	a	a	
11564	16104	a	a	
13592	16104	a	a	
13201	16104	a	a	
12286	16104	a	a	
10492	16104	a	a	
-199.733	16104	a	a	
-33.7333	16104	a	a	
12933	16104	a	a	
-21.7333	16104	a	a	
13091	16104	a	a	
-23.7333	16104	a	a	
12842	16104	a	a	
11309	16104	a	a	
12966	16104	a	a	
11105	16104	a	a	
-0.733333	16104	a	a	
10600	16104	a	a	
12126	16104	a	a	
12848	16104	a	a	
11071	16104	a	a	
11931	16104	a	a	
12631	16104	a	a	
-27.7333	16104	a	a	
11634	16104	a	a	
12621	16104	a	a	
11939	16104	a	a	
11143	16104	a	a	
12069	16104	a	a	
-125.733	16104	a	a	
13572	16104	a	a	
12286	16104	a	a	
13725	16104	a	a	
12480	16104	a	a	
12701	16104	a	a	
11783	16104	a	a	
11529	16104	a	a	
11240	16104	a	a	
12547	16104	a	a	
-19.7333	16104	a	a	
-67.7333	16104	a	a	
-38.7333	16104	a	a	
11765	16104	a	a	
12925	16104	a	a	
9636	16104	a	a	
11818	16104	a	a	
13400	16104	a	a	
11511	16104	a	a	
-41.7333	16104	a	a	
13493	16104	a	a	
14198	16104	a	a	
13380	16104	a	a	
13060	16104	a	a	
13320	16104	a	a	
11248	16104	a	a	
12543	16104	a	a	
-19.7333	16104	a	a	
11347	16104	a	a	
13644	16104	a	a	
-86.7333	16104	a	a	
-53.7333	16104	a	a	
-93.7333	16104	a	a	
11042	16104	a	a	
13062	16104	a	a	
-86.7333	16104	a	a	
15351	16104	a	a	
-7.73333	16104	a	a	
-3.73333	16104	a	a	
10619	16104	a	a	
11136	16104	a	a	
12932	16104	a	a	
