../jeu_200_75_5.txt_5_currentGA	../jeu_200_75_5.txt_5_bestGA	../jeu_200_75_5.txt_5_currentACO	../jeu_200_75_5.txt_5_bestACO	
-262.24	-262.24	112158	112158	
-484.24	-262.24	112648	112648	
-134.24	-134.24	113999	113999	
-272.24	-134.24	112245	113999	
-182.24	-134.24	106943	113999	
-303.24	-134.24	113999	113999	
-192.24	-134.24	113999	113999	
-340.24	-134.24	113999	113999	
-360.24	-134.24	113259	113999	
-300.24	-134.24	113999	113999	
-336.24	-134.24	113999	113999	
-278.24	-134.24	113999	113999	
-233.24	-134.24	113999	113999	
-452.24	-134.24	116692	116692	
-302.24	-134.24	113999	116692	
-115.24	-115.24	113999	116692	
-373.24	-115.24	113999	116692	
-279.24	-115.24	113999	116692	
-162.24	-115.24	116692	116692	
-94.24	-94.24	113999	116692	
-199.24	-94.24	117019	117019	
-293.24	-94.24	113999	117019	
-470.24	-94.24	113999	117019	
-240.24	-94.24	116692	117019	
-219.24	-94.24	113999	117019	
-232.24	-94.24	116790	117019	
-220.24	-94.24	113999	117019	
-122.24	-94.24	113999	117019	
-168.24	-94.24	116692	117019	
-245.24	-94.24	113999	117019	
-524.24	-94.24	117621	117621	
-345.24	-94.24	113999	117621	
-157.24	-94.24	113999	117621	
-206.24	-94.24	116105	117621	
-278.24	-94.24	113999	117621	
-243.24	-94.24	117621	117621	
-247.24	-94.24	113999	117621	
-252.24	-94.24	117019	117621	
-222.24	-94.24	116183	117621	
-191.24	-94.24	114862	117621	
-234.24	-94.24	117621	117621	
-69.24	-69.24	115465	117621	
-183.24	-69.24	119440	119440	
-119.24	-69.24	117779	119440	
-135.24	-69.24	117621	119440	
-226.24	-69.24	117028	119440	
-296.24	-69.24	117621	119440	
-461.24	-69.24	119299	119440	
-283.24	-69.24	117621	119440	
-249.24	-69.24	117621	119440	
-218.24	-69.24	117688	119440	
-168.24	-69.24	117621	119440	
-70.24	-69.24	119440	119440	
-319.24	-69.24	117101	119440	
-264.24	-69.24	119701	119701	
