../jeu_100_75_2.txt_3_currentGA	../jeu_100_75_2.txt_3_bestGA	../jeu_100_75_2.txt_3_currentACO	../jeu_100_75_2.txt_3_bestACO	
33336	33336	44680	44680	
-160.333	33336	45574	45574	
-83.3333	33336	47116	47116	
-151.333	33336	43448	47116	
-88.3333	33336	43714	47116	
-120.333	33336	47116	47116	
-49.3333	33336	47116	47116	
-26.3333	33336	47116	47116	
-146.333	33336	47116	47116	
-181.333	33336	47116	47116	
-49.3333	33336	47116	47116	
-77.3333	33336	47116	47116	
-16.3333	33336	47116	47116	
-6.33333	33336	47116	47116	
-36.3333	33336	47116	47116	
-164.333	33336	47116	47116	
-33.3333	33336	47116	47116	
-113.333	33336	47116	47116	
27421	33336	47116	47116	
-364.333	33336	47116	47116	
-19.3333	33336	47116	47116	
39676	39676	47116	47116	
-233.333	39676	47116	47116	
39977	39977	47116	47116	
-152.333	39977	47116	47116	
-89.3333	39977	47116	47116	
29852	39977	47116	47116	
-54.3333	39977	47116	47116	
-94.3333	39977	47116	47116	
-200.333	39977	47116	47116	
-35.3333	39977	47116	47116	
-106.333	39977	47116	47116	
36579	39977	47116	47116	
-270.333	39977	47116	47116	
34372	39977	47116	47116	
-21.3333	39977	47116	47116	
-187.333	39977	47116	47116	
37211	39977	47116	47116	
-52.3333	39977	47116	47116	
-40.3333	39977	47116	47116	
-177.333	39977	47116	47116	
35064	39977	47116	47116	
-95.3333	39977	47116	47116	
-53.3333	39977	47116	47116	
-40.3333	39977	47116	47116	
-49.3333	39977	47116	47116	
-35.3333	39977	47116	47116	
-222.333	39977	47116	47116	
-96.3333	39977	47116	47116	
-77.3333	39977	47116	47116	
-51.3333	39977	47116	47116	
-63.3333	39977	47116	47116	
-21.3333	39977	47116	47116	
-204.333	39977	47116	47116	
-211.333	39977	47116	47116	
-73.3333	39977	47116	47116	
-349.333	39977	47116	47116	
-53.3333	39977	47116	47116	
-115.333	39977	47116	47116	
-122.333	39977	47116	47116	
-181.333	39977	47116	47116	
-196.333	39977	47116	47116	
-46.3333	39977	47116	47116	
-168.333	39977	47116	47116	
-91.3333	39977	47116	47116	
40598	40598	47116	47116	
-121.333	40598	47116	47116	
32111	40598	47116	47116	
-10.3333	40598	47116	47116	
-3.33333	40598	47116	47116	
-166.333	40598	47116	47116	
-59.3333	40598	47116	47116	
-3.33333	40598	47049	47116	
28192	40598	47116	47116	
32598	40598	47116	47116	
-98.3333	40598	47116	47116	
-83.3333	40598	47116	47116	
-90.3333	40598	47116	47116	
-50.3333	40598	47116	47116	
-19.3333	40598	47116	47116	
-172.333	40598	47116	47116	
33137	40598	47116	47116	
-247.333	40598	47116	47116	
-96.3333	40598	47116	47116	
-134.333	40598	47116	47116	
-40.3333	40598	47116	47116	
-232.333	40598	47116	47116	
-196.333	40598	47116	47116	
-49.3333	40598	47116	47116	
-35.3333	40598	47116	47116	
-68.3333	40598	47116	47116	
-23.3333	40598	47116	47116	
-197.333	40598	47116	47116	
-154.333	40598	47116	47116	
-97.3333	40598	47116	47116	
-21.3333	40598	47116	47116	
-38.3333	40598	47116	47116	
-63.3333	40598	47116	47116	
33795	40598	47116	47116	
-142.333	40598	47116	47116	
37310	40598	47116	47116	
-270.333	40598	47116	47116	
-204.333	40598	47116	47116	
-164.333	40598	47116	47116	
-87.3333	40598	47116	47116	
37211	40598	47116	47116	
-2.33333	40598	47116	47116	
-230.333	40598	47116	47116	
-216.333	40598	47116	47116	
-112.333	40598	47116	47116	
-197.333	40598	47116	47116	
-19.3333	40598	47116	47116	
-170.333	40598	47116	47116	
-213.333	40598	47116	47116	
-164.333	40598	47116	47116	
-29.3333	40598	47116	47116	
-98.3333	40598	47116	47116	
-164.333	40598	47116	47116	
-138.333	40598	47116	47116	
-88.3333	40598	47116	47116	
30868	40598	47116	47116	
29802	40598	47116	47116	
-55.3333	40598	47116	47116	
35201	40598	47116	47116	
39528	40598	47116	47116	
29805	40598	47116	47116	
-17.3333	40598	47116	47116	
-18.3333	40598	47116	47116	
-133.333	40598	47116	47116	
-75.3333	40598	47116	47116	
-113.333	40598	47116	47116	
-118.333	40598	47116	47116	
-47.3333	40598	47116	47116	
35510	40598	47116	47116	
32496	40598	47116	47116	
-23.3333	40598	47116	47116	
-146.333	40598	47116	47116	
-44.3333	40598	47116	47116	
-55.3333	40598	47116	47116	
-210.333	40598	47116	47116	
-52.3333	40598	47116	47116	
41660	41660	47116	47116	
-3.33333	41660	47116	47116	
-67.3333	41660	47116	47116	
-44.3333	41660	47116	47116	
31632	41660	47116	47116	
39884	41660	47116	47116	
