../jeu_100_75_2.txt_5_currentGA	../jeu_100_75_2.txt_5_bestGA	../jeu_100_75_2.txt_5_currentACO	../jeu_100_75_2.txt_5_bestACO	
-146.2	-146.2	28959	28959	
-124.2	-124.2	29873	29873	
-202.2	-124.2	30208	30208	
-311.2	-124.2	29628	30208	
-273.2	-124.2	30128	30208	
-207.2	-124.2	30004	30208	
-114.2	-114.2	30478	30478	
-75.2	-75.2	30208	30478	
-145.2	-75.2	30208	30478	
-261.2	-75.2	30208	30478	
-174.2	-75.2	30478	30478	
-108.2	-75.2	30478	30478	
-283.2	-75.2	30244	30478	
-320.2	-75.2	30208	30478	
-264.2	-75.2	30208	30478	
-285.2	-75.2	30478	30478	
-417.2	-75.2	30478	30478	
-59.2	-59.2	30244	30478	
-70.2	-59.2	30208	30478	
-330.2	-59.2	30208	30478	
-269.2	-59.2	30478	30478	
-286.2	-59.2	30478	30478	
-148.2	-59.2	30478	30478	
-188.2	-59.2	30208	30478	
-207.2	-59.2	30208	30478	
-108.2	-59.2	30478	30478	
-119.2	-59.2	30478	30478	
-153.2	-59.2	30478	30478	
-145.2	-59.2	30244	30478	
-75.2	-59.2	30478	30478	
-235.2	-59.2	30478	30478	
-103.2	-59.2	30478	30478	
-208.2	-59.2	30478	30478	
-261.2	-59.2	30478	30478	
-325.2	-59.2	30478	30478	
-115.2	-59.2	30478	30478	
-211.2	-59.2	30478	30478	
-97.2	-59.2	30478	30478	
-119.2	-59.2	30478	30478	
-30.2	-30.2	30478	30478	
-187.2	-30.2	30478	30478	
-98.2	-30.2	30478	30478	
-241.2	-30.2	30478	30478	
-103.2	-30.2	30478	30478	
-207.2	-30.2	30478	30478	
-172.2	-30.2	30478	30478	
-106.2	-30.2	30478	30478	
-97.2	-30.2	30478	30478	
-149.2	-30.2	30478	30478	
-271.2	-30.2	30478	30478	
-132.2	-30.2	30478	30478	
-179.2	-30.2	30478	30478	
-165.2	-30.2	30478	30478	
-130.2	-30.2	30478	30478	
-165.2	-30.2	30478	30478	
-81.2	-30.2	30478	30478	
-76.2	-30.2	30478	30478	
-140.2	-30.2	30478	30478	
-121.2	-30.2	30478	30478	
-185.2	-30.2	30478	30478	
-154.2	-30.2	30478	30478	
-163.2	-30.2	30478	30478	
-183.2	-30.2	30478	30478	
-270.2	-30.2	30478	30478	
-183.2	-30.2	30478	30478	
-317.2	-30.2	30478	30478	
-249.2	-30.2	30478	30478	
-207.2	-30.2	30478	30478	
-196.2	-30.2	30478	30478	
-161.2	-30.2	30478	30478	
-224.2	-30.2	30478	30478	
-193.2	-30.2	30478	30478	
-171.2	-30.2	30478	30478	
-124.2	-30.2	30478	30478	
-123.2	-30.2	30478	30478	
-312.2	-30.2	30478	30478	
-202.2	-30.2	30478	30478	
-136.2	-30.2	30478	30478	
-209.2	-30.2	30478	30478	
-269.2	-30.2	30478	30478	
-173.2	-30.2	30478	30478	
-135.2	-30.2	30478	30478	
-183.2	-30.2	30478	30478	
-152.2	-30.2	30478	30478	
-186.2	-30.2	30478	30478	
-207.2	-30.2	30478	30478	
-206.2	-30.2	30478	30478	
-396.2	-30.2	30478	30478	
-184.2	-30.2	30478	30478	
