../jeu_200_25_8.txt_5_currentGA	../jeu_200_25_8.txt_5_bestGA	../jeu_200_25_8.txt_5_currentACO	../jeu_200_25_8.txt_5_bestACO	
-173.84	-173.84	23288	23288	
-480.84	-173.84	36674	36674	
-122.84	-122.84	24237	36674	
-215.84	-122.84	24237	36674	
-137.84	-122.84	24237	36674	
-439.84	-122.84	36674	36674	
-157.84	-122.84	37064	37064	
-525.84	-122.84	36674	37064	
-171.84	-122.84	36674	37064	
-345.84	-122.84	36674	37064	
-258.84	-122.84	37064	37064	
-197.84	-122.84	37151	37151	
-180.84	-122.84	37064	37151	
-166.84	-122.84	36820	37151	
-166.84	-122.84	37064	37151	
-194.84	-122.84	37151	37151	
-182.84	-122.84	37115	37151	
-153.84	-122.84	37064	37151	
-189.84	-122.84	37145	37151	
-311.84	-122.84	37151	37151	
-272.84	-122.84	37687	37687	
-266.84	-122.84	37435	37687	
-312.84	-122.84	37151	37687	
-106.84	-106.84	38342	38342	
-282.84	-106.84	37687	38342	
-214.84	-106.84	37959	38342	
-307.84	-106.84	37704	38342	
-79.84	-79.84	37687	38342	
-73.84	-73.84	38635	38635	
-140.84	-73.84	38221	38635	
-298.84	-73.84	37959	38635	
-145.84	-73.84	38342	38635	
-180.84	-73.84	38080	38635	
-148.84	-73.84	38635	38635	
-168.84	-73.84	38329	38635	
-301.84	-73.84	38080	38635	
-282.84	-73.84	38635	38635	
-410.84	-73.84	38876	38876	
-208.84	-73.84	38635	38876	
-235.84	-73.84	39306	39306	
-133.84	-73.84	38080	39306	
-100.84	-73.84	38635	39306	
-316.84	-73.84	39192	39306	
-424.84	-73.84	38879	39306	
-161.84	-73.84	39306	39306	
-205.84	-73.84	39047	39306	
-387.84	-73.84	38627	39306	
-436.84	-73.84	39306	39306	
-110.84	-73.84	38879	39306	
-258.84	-73.84	38777	39306	
-300.84	-73.84	38459	39306	
-194.84	-73.84	38996	39306	
-132.84	-73.84	38527	39306	
-250.84	-73.84	38819	39306	
-109.84	-73.84	40044	40044	
-114.84	-73.84	39192	40044	
-223.84	-73.84	39273	40044	
-154.84	-73.84	39865	40044	
-370.84	-73.84	38901	40044	
-322.84	-73.84	40397	40397	
-144.84	-73.84	39306	40397	
-137.84	-73.84	39408	40397	
-347.84	-73.84	39865	40397	
-267.84	-73.84	38513	40397	
-214.84	-73.84	40397	40397	
-195.84	-73.84	38460	40397	
-437.84	-73.84	39408	40397	
-222.84	-73.84	40203	40397	
-202.84	-73.84	38481	40397	
-110.84	-73.84	40397	40397	
-213.84	-73.84	38900	40397	
-224.84	-73.84	39408	40397	
-131.84	-73.84	40203	40397	
-269.84	-73.84	38780	40397	
-304.84	-73.84	40397	40397	
-345.84	-73.84	a	a	
-470.84	-73.84	a	a	
-187.84	-73.84	a	a	
-162.84	-73.84	a	a	
-166.84	-73.84	a	a	
-166.84	-73.84	a	a	
-436.84	-73.84	a	a	
-272.84	-73.84	a	a	
-137.84	-73.84	a	a	
-152.84	-73.84	a	a	
-187.84	-73.84	a	a	
-247.84	-73.84	a	a	
-97.84	-73.84	a	a	
-244.84	-73.84	a	a	
-320.84	-73.84	a	a	
-311.84	-73.84	a	a	
-147.84	-73.84	a	a	
-225.84	-73.84	a	a	
-309.84	-73.84	a	a	
-360.84	-73.84	a	a	
-232.84	-73.84	a	a	
-218.84	-73.84	a	a	
-145.84	-73.84	a	a	
-595.84	-73.84	a	a	
-277.84	-73.84	a	a	
-131.84	-73.84	a	a	
-212.84	-73.84	a	a	
-295.84	-73.84	a	a	
-259.84	-73.84	a	a	
-105.84	-73.84	a	a	
-311.84	-73.84	a	a	
-180.84	-73.84	a	a	
-266.84	-73.84	a	a	
-275.84	-73.84	a	a	
-303.84	-73.84	a	a	
-244.84	-73.84	a	a	
-180.84	-73.84	a	a	
-348.84	-73.84	a	a	
-138.84	-73.84	a	a	
-198.84	-73.84	a	a	
-258.84	-73.84	a	a	
-478.84	-73.84	a	a	
-105.84	-73.84	a	a	
-172.84	-73.84	a	a	
-184.84	-73.84	a	a	
-293.84	-73.84	a	a	
-194.84	-73.84	a	a	
-139.84	-73.84	a	a	
-288.84	-73.84	a	a	
-273.84	-73.84	a	a	
-208.84	-73.84	a	a	
-146.84	-73.84	a	a	
-153.84	-73.84	a	a	
-401.84	-73.84	a	a	
-164.84	-73.84	a	a	
-226.84	-73.84	a	a	
-413.84	-73.84	a	a	
-240.84	-73.84	a	a	
-349.84	-73.84	a	a	
-215.84	-73.84	a	a	
-280.84	-73.84	a	a	
-177.84	-73.84	a	a	
-234.84	-73.84	a	a	
-211.84	-73.84	a	a	
-323.84	-73.84	a	a	
-350.84	-73.84	a	a	
-115.84	-73.84	a	a	
-231.84	-73.84	a	a	
-362.84	-73.84	a	a	
-253.84	-73.84	a	a	
-294.84	-73.84	a	a	
-324.84	-73.84	a	a	
-94.84	-73.84	a	a	
-202.84	-73.84	a	a	
-219.84	-73.84	a	a	
-161.84	-73.84	a	a	
-170.84	-73.84	a	a	
-236.84	-73.84	a	a	
-295.84	-73.84	a	a	
-225.84	-73.84	a	a	
-381.84	-73.84	a	a	
-317.84	-73.84	a	a	
-190.84	-73.84	a	a	
-233.84	-73.84	a	a	
-230.84	-73.84	a	a	
-384.84	-73.84	a	a	
-205.84	-73.84	a	a	
-218.84	-73.84	a	a	
-93.84	-73.84	a	a	
-280.84	-73.84	a	a	
-171.84	-73.84	a	a	
-191.84	-73.84	a	a	
-441.84	-73.84	a	a	
-158.84	-73.84	a	a	
-231.84	-73.84	a	a	
-296.84	-73.84	a	a	
-337.84	-73.84	a	a	
-98.84	-73.84	a	a	
-96.84	-73.84	a	a	
-212.84	-73.84	a	a	
-315.84	-73.84	a	a	
-270.84	-73.84	a	a	
-153.84	-73.84	a	a	
-327.84	-73.84	a	a	
-255.84	-73.84	a	a	
-139.84	-73.84	a	a	
-159.84	-73.84	a	a	
-182.84	-73.84	a	a	
-292.84	-73.84	a	a	
-285.84	-73.84	a	a	
-413.84	-73.84	a	a	
-178.84	-73.84	a	a	
-176.84	-73.84	a	a	
-257.84	-73.84	a	a	
-258.84	-73.84	a	a	
-247.84	-73.84	a	a	
-151.84	-73.84	a	a	
-234.84	-73.84	a	a	
-381.84	-73.84	a	a	
-206.84	-73.84	a	a	
-281.84	-73.84	a	a	
-273.84	-73.84	a	a	
-248.84	-73.84	a	a	
-231.84	-73.84	a	a	
-162.84	-73.84	a	a	
-320.84	-73.84	a	a	
-161.84	-73.84	a	a	
-293.84	-73.84	a	a	
-223.84	-73.84	a	a	
-165.84	-73.84	a	a	
-277.84	-73.84	a	a	
-185.84	-73.84	a	a	
-270.84	-73.84	a	a	
-62.84	-62.84	a	a	
-208.84	-62.84	a	a	
-277.84	-62.84	a	a	
-234.84	-62.84	a	a	
-248.84	-62.84	a	a	
-139.84	-62.84	a	a	
-180.84	-62.84	a	a	
-106.84	-62.84	a	a	
-253.84	-62.84	a	a	
-170.84	-62.84	a	a	
-240.84	-62.84	a	a	
-195.84	-62.84	a	a	
-103.84	-62.84	a	a	
-194.84	-62.84	a	a	
-262.84	-62.84	a	a	
-196.84	-62.84	a	a	
-307.84	-62.84	a	a	
-129.84	-62.84	a	a	
-173.84	-62.84	a	a	
-282.84	-62.84	a	a	
-330.84	-62.84	a	a	
-383.84	-62.84	a	a	
-293.84	-62.84	a	a	
-258.84	-62.84	a	a	
-79.84	-62.84	a	a	
-168.84	-62.84	a	a	
-314.84	-62.84	a	a	
-217.84	-62.84	a	a	
-49.84	-49.84	a	a	
-141.84	-49.84	a	a	
-248.84	-49.84	a	a	
-137.84	-49.84	a	a	
-87.84	-49.84	a	a	
-268.84	-49.84	a	a	
