../jeu_200_75_5.txt_3_currentGA	../jeu_200_75_5.txt_3_bestGA	../jeu_200_75_5.txt_3_currentACO	../jeu_200_75_5.txt_3_bestACO	
-83.7333	-83.7333	182464	182464	
-110.733	-83.7333	182759	182759	
-79.7333	-79.7333	172187	182759	
-74.7333	-74.7333	176868	182759	
158488	158488	177935	182759	
140852	158488	182856	182856	
-166.733	158488	182759	182856	
148159	158488	182759	182856	
-3.73333	158488	185320	185320	
-181.733	158488	180588	185320	
-345.733	158488	182856	185320	
-136.733	158488	182759	185320	
-69.7333	158488	182759	185320	
-204.733	158488	185320	185320	
-138.733	158488	185320	185320	
146053	158488	182856	185320	
134055	158488	185320	185320	
-76.7333	158488	182759	185320	
-137.733	158488	185320	185320	
-9.73333	158488	185320	185320	
-213.733	158488	185320	185320	
-41.7333	158488	185320	185320	
-36.7333	158488	182759	185320	
-32.7333	158488	185320	185320	
-79.7333	158488	185320	185320	
147571	158488	185320	185320	
-41.7333	158488	185320	185320	
-457.733	158488	182759	185320	
-159.733	158488	185320	185320	
-272.733	158488	185320	185320	
-285.733	158488	185320	185320	
-118.733	158488	185320	185320	
135709	158488	185320	185320	
-56.7333	158488	185320	185320	
-125.733	158488	185320	185320	
-22.7333	158488	185320	185320	
-118.733	158488	185320	185320	
-302.733	158488	185320	185320	
137635	158488	185320	185320	
-128.733	158488	185320	185320	
-107.733	158488	185320	185320	
-132.733	158488	185320	185320	
-264.733	158488	185320	185320	
-34.7333	158488	185320	185320	
125941	158488	185320	185320	
-106.733	158488	185320	185320	
-86.7333	158488	185320	185320	
152091	158488	185320	185320	
-94.7333	158488	185320	185320	
-114.733	158488	185320	185320	
139079	158488	185320	185320	
-111.733	158488	185320	185320	
148821	158488	185320	185320	
-59.7333	158488	185320	185320	
162098	162098	185320	185320	
-152.733	162098	185320	185320	
139808	162098	185320	185320	
-156.733	162098	185320	185320	
-88.7333	162098	185320	185320	
133134	162098	185320	185320	
-26.7333	162098	185320	185320	
-3.73333	162098	185320	185320	
-104.733	162098	185320	185320	
-72.7333	162098	185320	185320	
147571	162098	185320	185320	
-251.733	162098	185320	185320	
-47.7333	162098	185320	185320	
-39.7333	162098	185320	185320	
-122.733	162098	185320	185320	
-94.7333	162098	185320	185320	
145663	162098	185320	185320	
-120.733	162098	185320	185320	
-10.7333	162098	185320	185320	
-96.7333	162098	185320	185320	
-9.73333	162098	185320	185320	
134410	162098	185320	185320	
-311.733	162098	185320	185320	
-93.7333	162098	185320	185320	
135187	162098	185320	185320	
-167.733	162098	185320	185320	
-138.733	162098	185320	185320	
152091	162098	185320	185320	
-213.733	162098	185320	185320	
-102.733	162098	185320	185320	
142925	162098	185320	185320	
131056	162098	a	a	
149878	162098	a	a	
-44.7333	162098	a	a	
-197.733	162098	a	a	
-106.733	162098	a	a	
-9.73333	162098	a	a	
-54.7333	162098	a	a	
138626	162098	a	a	
-143.733	162098	a	a	
-6.73333	162098	a	a	
-335.733	162098	a	a	
-107.733	162098	a	a	
-148.733	162098	a	a	
137256	162098	a	a	
-149.733	162098	a	a	
-350.733	162098	a	a	
-0.733333	162098	a	a	
-176.733	162098	a	a	
-75.7333	162098	a	a	
-41.7333	162098	a	a	
-9.73333	162098	a	a	
-69.7333	162098	a	a	
146175	162098	a	a	
-167.733	162098	a	a	
-225.733	162098	a	a	
-23.7333	162098	a	a	
-69.7333	162098	a	a	
-58.7333	162098	a	a	
-32.7333	162098	a	a	
-25.7333	162098	a	a	
-114.733	162098	a	a	
-269.733	162098	a	a	
-137.733	162098	a	a	
151622	162098	a	a	
-138.733	162098	a	a	
-135.733	162098	a	a	
-64.7333	162098	a	a	
-9.73333	162098	a	a	
-27.7333	162098	a	a	
-52.7333	162098	a	a	
132744	162098	a	a	
142795	162098	a	a	
137230	162098	a	a	
137694	162098	a	a	
123840	162098	a	a	
135909	162098	a	a	
-46.7333	162098	a	a	
146376	162098	a	a	
-209.733	162098	a	a	
124300	162098	a	a	
-194.733	162098	a	a	
-177.733	162098	a	a	
144395	162098	a	a	
-118.733	162098	a	a	
-31.7333	162098	a	a	
-275.733	162098	a	a	
-32.7333	162098	a	a	
114322	162098	a	a	
150532	162098	a	a	
147506	162098	a	a	
-39.7333	162098	a	a	
-45.7333	162098	a	a	
-79.7333	162098	a	a	
-65.7333	162098	a	a	
142726	162098	a	a	
-135.733	162098	a	a	
153689	162098	a	a	
-129.733	162098	a	a	
128544	162098	a	a	
138626	162098	a	a	
-181.733	162098	a	a	
153219	162098	a	a	
-274.733	162098	a	a	
148248	162098	a	a	
-169.733	162098	a	a	
-135.733	162098	a	a	
136452	162098	a	a	
-355.733	162098	a	a	
132788	162098	a	a	
-80.7333	162098	a	a	
133908	162098	a	a	
-47.7333	162098	a	a	
-53.7333	162098	a	a	
129092	162098	a	a	
-149.733	162098	a	a	
-115.733	162098	a	a	
137398	162098	a	a	
-14.7333	162098	a	a	
-202.733	162098	a	a	
127975	162098	a	a	
-11.7333	162098	a	a	
-13.7333	162098	a	a	
-222.733	162098	a	a	
-59.7333	162098	a	a	
-266.733	162098	a	a	
136452	162098	a	a	
137302	162098	a	a	
139281	162098	a	a	
-144.733	162098	a	a	
131726	162098	a	a	
145852	162098	a	a	
134204	162098	a	a	
-44.7333	162098	a	a	
-249.733	162098	a	a	
128572	162098	a	a	
-162.733	162098	a	a	
127196	162098	a	a	
147665	162098	a	a	
-22.7333	162098	a	a	
-88.7333	162098	a	a	
136963	162098	a	a	
152658	162098	a	a	
