../jeu_200_25_8.txt_3_currentGA	../jeu_200_25_8.txt_3_bestGA	../jeu_200_25_8.txt_3_currentACO	../jeu_200_25_8.txt_3_bestACO	
-212.733	-212.733	58316	58316	
-112.733	-112.733	58728	58728	
-279.733	-112.733	22143	58728	
-77.7333	-77.7333	58666	58728	
54779	54779	58813	58813	
-127.733	54779	58813	58813	
-189.733	54779	58813	58813	
-22.7333	54779	58813	58813	
-29.7333	54779	58813	58813	
-305.733	54779	58813	58813	
-457.733	54779	58813	58813	
-46.7333	54779	58813	58813	
-37.7333	54779	58813	58813	
-170.733	54779	58813	58813	
-127.733	54779	58813	58813	
-220.733	54779	58813	58813	
42252	54779	58813	58813	
42268	54779	58813	58813	
-23.7333	54779	58813	58813	
43910	54779	58813	58813	
-228.733	54779	58813	58813	
44164	54779	58813	58813	
-90.7333	54779	58813	58813	
46085	54779	58813	58813	
-191.733	54779	58813	58813	
-101.733	54779	58813	58813	
-191.733	54779	58813	58813	
-226.733	54779	58813	58813	
-73.7333	54779	58813	58813	
-295.733	54779	58813	58813	
-141.733	54779	58813	58813	
-104.733	54779	58813	58813	
-143.733	54779	58813	58813	
-50.7333	54779	58813	58813	
-170.733	54779	58813	58813	
46109	54779	58813	58813	
-82.7333	54779	58813	58813	
-411.733	54779	58813	58813	
-118.733	54779	58813	58813	
-206.733	54779	58813	58813	
-101.733	54779	58813	58813	
50364	54779	58813	58813	
-274.733	54779	58813	58813	
-158.733	54779	58813	58813	
42987	54779	58813	58813	
-17.7333	54779	58813	58813	
-171.733	54779	58813	58813	
-109.733	54779	58813	58813	
49845	54779	58813	58813	
-132.733	54779	58813	58813	
-22.7333	54779	58813	58813	
-36.7333	54779	58813	58813	
-103.733	54779	58813	58813	
47443	54779	58813	58813	
-15.7333	54779	58813	58813	
-246.733	54779	58813	58813	
-6.73333	54779	58813	58813	
49446	54779	58813	58813	
-286.733	54779	58813	58813	
44195	54779	58813	58813	
-219.733	54779	58813	58813	
-258.733	54779	58813	58813	
-263.733	54779	58813	58813	
-193.733	54779	58813	58813	
-101.733	54779	58813	58813	
-229.733	54779	58813	58813	
-106.733	54779	58813	58813	
-267.733	54779	58813	58813	
-421.733	54779	58813	58813	
49845	54779	58813	58813	
-47.7333	54779	58813	58813	
-75.7333	54779	58813	58813	
-3.73333	54779	58813	58813	
-204.733	54779	58813	58813	
43487	54779	58813	58813	
-101.733	54779	a	a	
-346.733	54779	a	a	
48742	54779	a	a	
-74.7333	54779	a	a	
-170.733	54779	a	a	
-127.733	54779	a	a	
-109.733	54779	a	a	
-228.733	54779	a	a	
-255.733	54779	a	a	
44694	54779	a	a	
-4.73333	54779	a	a	
-211.733	54779	a	a	
-236.733	54779	a	a	
-370.733	54779	a	a	
-242.733	54779	a	a	
43910	54779	a	a	
50649	54779	a	a	
-67.7333	54779	a	a	
-178.733	54779	a	a	
-275.733	54779	a	a	
-167.733	54779	a	a	
-60.7333	54779	a	a	
-126.733	54779	a	a	
-115.733	54779	a	a	
-101.733	54779	a	a	
-188.733	54779	a	a	
-167.733	54779	a	a	
-219.733	54779	a	a	
-238.733	54779	a	a	
44112	54779	a	a	
43910	54779	a	a	
-37.7333	54779	a	a	
-6.73333	54779	a	a	
-193.733	54779	a	a	
-320.733	54779	a	a	
-113.733	54779	a	a	
-37.7333	54779	a	a	
-141.733	54779	a	a	
-191.733	54779	a	a	
46466	54779	a	a	
-132.733	54779	a	a	
-124.733	54779	a	a	
-27.7333	54779	a	a	
-89.7333	54779	a	a	
-78.7333	54779	a	a	
-132.733	54779	a	a	
-148.733	54779	a	a	
43910	54779	a	a	
-177.733	54779	a	a	
45634	54779	a	a	
45783	54779	a	a	
-42.7333	54779	a	a	
-66.7333	54779	a	a	
-20.7333	54779	a	a	
-111.733	54779	a	a	
43439	54779	a	a	
-219.733	54779	a	a	
-140.733	54779	a	a	
52797	54779	a	a	
-19.7333	54779	a	a	
-415.733	54779	a	a	
-128.733	54779	a	a	
45855	54779	a	a	
-308.733	54779	a	a	
48492	54779	a	a	
-242.733	54779	a	a	
-76.7333	54779	a	a	
36393	54779	a	a	
-74.7333	54779	a	a	
-53.7333	54779	a	a	
-161.733	54779	a	a	
43081	54779	a	a	
-206.733	54779	a	a	
-91.7333	54779	a	a	
47513	54779	a	a	
40543	54779	a	a	
47512	54779	a	a	
48035	54779	a	a	
-0.733333	54779	a	a	
-67.7333	54779	a	a	
-24.7333	54779	a	a	
-52.7333	54779	a	a	
-221.733	54779	a	a	
45436	54779	a	a	
-10.7333	54779	a	a	
-28.7333	54779	a	a	
45481	54779	a	a	
-93.7333	54779	a	a	
-254.733	54779	a	a	
-56.7333	54779	a	a	
-45.7333	54779	a	a	
-125.733	54779	a	a	
-85.7333	54779	a	a	
-15.7333	54779	a	a	
