../jeu_200_75_5.txt_5_currentSA	../jeu_200_75_5.txt_5_bestSA	../jeu_200_75_5.txt_5_currentTS	../jeu_200_75_5.txt_5_bestTS	../jeu_200_75_5.txt_5_currentGrasp	../jeu_200_75_5.txt_5_bestGrasp	../jeu_200_75_5.txt_5_currentIG	../jeu_200_75_5.txt_5_bestIG	
-296.24	-296.24	-148.24	-148.24	-309.24	-309.24	-351.24	-351.24	
-296.24	-296.24	-98.24	-98.24	80	80	80	80	
-295.24	-295.24	-48.24	-48.24	149	149	210	210	
-295.24	-295.24	-11.24	-11.24	208	208	322	322	
-253.24	-253.24	-9.24	-9.24	479	479	444	444	
-250.24	-250.24	-7.24	-7.24	746	746	765	765	
-204.24	-204.24	91690	91690	1008	1008	901	901	
-204.24	-204.24	93365	93365	1321	1321	1246	1246	
-204.24	-204.24	94893	94893	1785	1785	1592	1592	
-204.24	-204.24	96352	96352	2140	2140	2003	2003	
-204.24	-204.24	97800	97800	2502	2502	2330	2330	
-204.24	-204.24	99234	99234	2999	2999	2750	2750	
-177.24	-177.24	100661	100661	3700	3700	3201	3201	
-177.24	-177.24	102084	102084	4135	4135	3852	3852	
-167.24	-167.24	103512	103512	4679	4679	4689	4689	
-167.24	-167.24	102716	103512	5144	5144	5411	5411	
-165.24	-165.24	104170	104170	5901	5901	5937	5937	
-154.24	-154.24	105685	105685	6624	6624	6634	6634	
-154.24	-154.24	106126	106126	7437	7437	7357	7357	
-181.24	-154.24	106007	106126	8361	8361	8112	8112	
-202.24	-154.24	105888	106126	9119	9119	8694	8694	
-202.24	-154.24	106400	106400	10046	10046	9837	9837	
-202.24	-154.24	106495	106495	10739	10739	10777	10777	
-158.24	-154.24	106684	106684	11975	11975	11789	11789	
-158.24	-154.24	106514	106684	12879	12879	12500	12500	
-175.24	-154.24	106253	106684	13592	13592	13215	13215	
-175.24	-154.24	105411	106684	14900	14900	14060	14060	
-175.24	-154.24	106831	106831	15743	15743	15195	15195	
-175.24	-154.24	108250	108250	16614	16614	16043	16043	
-175.24	-154.24	108904	108904	17451	17451	17000	17000	
-175.24	-154.24	108040	108904	18415	18415	18317	18317	
-175.24	-154.24	109432	109432	19732	19732	19684	19684	
-175.24	-154.24	110587	110587	21154	21154	20653	20653	
-142.24	-142.24	109668	110587	22417	22417	22068	22068	
-142.24	-142.24	111300	111300	23533	23533	23503	23503	
-142.24	-142.24	112797	112797	24874	24874	24811	24811	
-142.24	-142.24	111852	112797	25889	25889	25956	25956	
-130.24	-130.24	113288	113288	27338	27338	27942	27942	
-130.24	-130.24	114652	114652	28844	28844	29493	29493	
-130.24	-130.24	115596	115596	30469	30469	30887	30887	
-130.24	-130.24	116573	116573	32060	32060	32575	32575	
-130.24	-130.24	115600	116573	33590	33590	34033	34033	
-146.24	-130.24	117037	117037	35135	35135	35625	35625	
-172.24	-130.24	117283	117283	37043	37043	37342	37342	
-190.24	-130.24	117571	117571	38590	38590	39207	39207	
-190.24	-130.24	117774	117774	40208	40208	40792	40792	
-201.24	-130.24	118026	118026	41697	41697	42560	42560	
-201.24	-130.24	118017	118026	43592	43592	44439	44439	
-201.24	-130.24	117710	118026	45297	45297	46465	46465	
-201.24	-130.24	117479	118026	47119	47119	48169	48169	
-201.24	-130.24	117260	118026	49598	49598	49898	49898	
-155.24	-130.24	116396	118026	51774	51774	51736	51736	
-155.24	-130.24	118059	118059	53905	53905	53786	53786	
-155.24	-130.24	119581	119581	55725	55725	56016	56016	
-182.24	-130.24	120978	120978	58021	58021	57913	57913	
-182.24	-130.24	120008	120978	60454	60454	59789	59789	
-182.24	-130.24	121450	121450	62512	62512	61879	61879	
-182.24	-130.24	121778	121778	64479	64479	64065	64065	
-182.24	-130.24	122064	122064	66705	66705	66747	66747	
-182.24	-130.24	122195	122195	69042	69042	69154	69154	
-203.24	-130.24	122866	122866	71401	71401	71401	71401	
-203.24	-130.24	123079	123079	73225	73225	73780	73780	
-203.24	-130.24	123002	123079	75699	75699	76197	76197	
-203.24	-130.24	123201	123201	78143	78143	78419	78419	
-203.24	-130.24	123117	123201	80625	80625	81024	81024	
-223.24	-130.24	122948	123201	83438	83438	83844	83844	
-223.24	-130.24	123108	123201	86087	86087	86555	86555	
-273.24	-130.24	124521	124521	88612	88612	88519	88519	
-273.24	-130.24	123656	124521	91227	91227	90918	90918	
-299.24	-130.24	125161	125161	94094	94094	93703	93703	
-299.24	-130.24	126335	126335	97154	97154	96262	96262	
-299.24	-130.24	125341	126335	100080	100080	99044	99044	
-318.24	-130.24	126827	126827	103374	103374	102191	102191	
-275.24	-130.24	127515	127515	105972	105972	105337	105337	
-275.24	-130.24	127221	127515	109235	109235	108213	108213	
-257.24	-130.24	127103	127515	112174	112174	111281	111281	
-257.24	-130.24	126639	127515	115106	115106	114628	114628	
-257.24	-130.24	126477	127515	118752	118752	117706	117706	
-254.24	-130.24	126775	127515	121997	121997	121377	121377	
-254.24	-130.24	a	a	125032	125032	124153	124153	
-254.24	-130.24	a	a	125131	125131	127697	127697	
-214.24	-130.24	a	a	125295	125295	127796	127796	
-183.24	-130.24	a	a	128260	128260	127973	127973	
-183.24	-130.24	a	a	128524	128524	128217	128217	
-183.24	-130.24	a	a	128747	128747	128456	128456	
-183.24	-130.24	a	a	129107	129107	128748	128748	
-201.24	-130.24	a	a	129455	129455	129052	129052	
-201.24	-130.24	a	a	129747	129747	129387	129387	
-201.24	-130.24	a	a	130189	130189	129850	129850	
-201.24	-130.24	a	a	130581	130581	130248	130248	
-201.24	-130.24	a	a	131099	131099	130820	130820	
-201.24	-130.24	a	a	131598	131598	131315	131315	
-197.24	-130.24	a	a	132136	132136	131778	131778	
-197.24	-130.24	a	a	132728	132728	132258	132258	
-197.24	-130.24	a	a	133302	133302	132823	132823	
-183.24	-130.24	a	a	133832	133832	133382	133382	
-183.24	-130.24	a	a	134699	134699	134138	134138	
-182.24	-130.24	a	a	135337	135337	134943	134943	
-182.24	-130.24	a	a	136229	136229	135894	135894	
-182.24	-130.24	a	a	137093	137093	136608	136608	
-182.24	-130.24	a	a	138009	138009	137692	137692	
-205.24	-130.24	a	a	138956	138956	138353	138353	
-174.24	-130.24	a	a	139950	139950	139245	139245	
-174.24	-130.24	a	a	140819	140819	140080	140080	
-174.24	-130.24	a	a	142013	142013	140932	140932	
