../jeu_100_75_2.txt_3_currentSA	../jeu_100_75_2.txt_3_bestSA	../jeu_100_75_2.txt_3_currentTS	../jeu_100_75_2.txt_3_bestTS	../jeu_100_75_2.txt_3_currentGrasp	../jeu_100_75_2.txt_3_bestGrasp	../jeu_100_75_2.txt_3_currentIG	../jeu_100_75_2.txt_3_bestIG	
-96.3333	-96.3333	-125.333	-125.333	-53.3333	-53.3333	-41.3333	-41.3333	
-58.3333	-58.3333	-75.3333	-75.3333	51	51	59	59	
-58.3333	-58.3333	-57.3333	-57.3333	131	131	192	192	
-58.3333	-58.3333	-42.3333	-42.3333	221	221	329	329	
-58.3333	-58.3333	-34.3333	-34.3333	380	380	419	419	
-58.3333	-58.3333	-32.3333	-32.3333	561	561	578	578	
-58.3333	-58.3333	42082	42082	768	768	780	780	
-21.3333	-21.3333	43477	43477	1139	1139	974	974	
-59.3333	-21.3333	44908	44908	1585	1585	1382	1382	
-15.3333	-15.3333	46178	46178	1978	1978	1866	1866	
41979	41979	47431	47431	2429	2429	2152	2152	
41979	41979	48554	48554	2826	2826	2807	2807	
41979	41979	49692	49692	3194	3194	3399	3399	
41979	41979	50547	50547	3753	3753	4023	4023	
41979	41979	50897	50897	4509	4509	4607	4607	
41979	41979	51209	51209	5265	5265	5256	5256	
41979	41979	51855	51855	5873	5873	6148	6148	
41979	41979	52269	52269	6759	6759	6889	6889	
41979	41979	52486	52486	7527	7527	7724	7724	
41979	41979	52750	52750	8256	8256	8525	8525	
41979	41979	53868	53868	9385	9385	8999	8999	
41979	41979	53777	53868	10404	10404	10067	10067	
42974	42974	53685	53868	11351	11351	10967	10967	
42974	42974	53396	53868	12301	12301	11912	11912	
42974	42974	52772	53868	13495	13495	13197	13197	
42974	42974	54045	54045	14555	14555	14465	14465	
42974	42974	53277	54045	15360	15360	15497	15497	
42974	42974	54181	54181	16233	16233	16299	16299	
42974	42974	53410	54181	17462	17462	17394	17394	
42974	42974	54659	54659	18138	18138	18857	18857	
42974	42974	53856	54659	19153	19153	20155	20155	
42974	42974	54820	54820	20269	20269	21178	21178	
42974	42974	54062	54820	21329	21329	21912	21912	
42974	42974	54563	54820	22652	22652	23215	23215	
42974	42974	54531	54820	23967	23967	24532	24532	
42974	42974	54987	54987	25683	25683	25819	25819	
42974	42974	55107	55107	27046	27046	27257	27257	
